Title                                    , Released year, Duration, Genre          , Language       , Description
Bagh Bandi Khela                         ,          2018, 2h 27m  , Thriller       , Thriller       , "Three stories revolving around three individuals - an undercover spy, a witness to a murder and a criminal defence lawyer. One common thread - crime."
Ek Thi Daayan                            ,          2013, 2h 5m   , Horror         , Horror         , "Famous magician Bobo is troubled by a vicious spirit from his past. As his hallucinations increase, he discovers the spirit has crawled into his present."
Bhoothnath Returns                       ,          2014, 2h 26m  , Comedy         , Comedy         , "Bhoothnath revisits earth, and his after-life changes for good when he meets a brave boy, Akhrot. They team up to fight against Bhau, a corrupt politician."
Bol Bachchan                             ,          2012, 2h 23m  , Comedy         , Comedy         , Abbas Ali is forced to hide his real identity when Prithviraj Raghuvanshi offers him a job. But a series of lies soon turns Ali's life a laugh riot.
Maestro                                  ,          2021, 2h 15m  , Crime          , Crime          , "A 'blind' pianist lands in hot water when he witnesses a crime during a private concert. Trapped in a catch-22 situation, Arun is in for an unpleasant ride."
Dhruva                                   ,          2016, 2h 34m  , Action         , Action         , "Dhruva, an honest IPS officer is on a challenging mission to destroy Siddharth Abhimanyu, the evil genius behind a huge medical mafia."
Nanban                                   ,          2012, 3h      , Comedy         , Comedy         , "Venkat and Senthil's life changed after meeting Panchavan, who disappears after graduation. Years later, the two search for their missing buddy thanks to a bet."
Theeran                                  ,          2017, 2h 21m  , Action         , Action         , "An honest cop named Theeran pays a heavy price for investigating the case of criminals, who shamelessly commit a crime and escape punishment."
Vivegam                                  ,          2017, 2h 11m  , Action         , Action         , "When an honest counter-terrorist agent is suspected to have gone rogue, he embarks upon a revenge mission against the traitors, who once were his friends."
Rakht Charitra                           ,          2010, 1h 47m  , Action         , Action         , "Pratap Ravi, a killer bandit, embarks on a political journey to avenge the deaths in his family. Will he succeed or get caught in the whirlpool of chaos?"
MCA Middle Class Abbayi                  ,          2017, 1h 52m  , Action         , Action         , "Young, middle-class boy Nani has to protect his sister-in-law, a transport official from a gangster, who runs an illegal transport business."
Santan                                   ,          1999, 2h 10m  , Drama          , Drama          , An elderly couple feels devastated when their children treat them as a burden. Things change for good when a young man comes to their rescue as a godsend.
Ispade Rajavum Idhaya Raniyum            ,          2019, 2h 23m  , Romance        , Romance        , "Gowtham suffers from anger issues and falls in love with Tara, an independent, practical girl. Time forces them to make tough choices. Will they part ways?"
Nuvvu Naaku Nachav                       ,          2001, 2h 59m  , Romance        , Romance        , "Venky, an unemployed youth, heads to Hyderabad to attend a wedding. A brief vacation gradually turns into something more as the soon-to-be bride falls for him."
Bhoothnath                               ,          2008, 2h 9m   , Comedy         , Comedy         , School-goer Banku moves into the Nath villa with his parents. His life takes an adventurous turn when he befriends an unfriendly ghost.
Hero No. 1                               ,          1997, 2h 13m  , Comedy         , Comedy         , "Much-in-love Rajesh and Meena decide to get married. When her parents object, Rajesh decides to win them over in the quirkiest way possible."
Fidaa                                    ,          2017, 2h 2m   , Romance        , Romance        , "Varun, an NRI medical student, falls in love with Bhanu, a village belle. However, their chalk-and-cheese personalities create obstacles for them."
Sata Lota Pan Sagla Khota                ,          2015, 2h 12m  , Comedy         , Comedy         , "When Jay's Dubai-based uncle stops his monthly allowance, Jay and his friends come up with a plan to make some cash. But is their plan foolproof?"
1971 Beyond Borders                      ,          2017, 1h 50m  , Action         , Action         , "On a UN Mission, Colonel Mahadevan befriends a Pakistani commander, who he later discovers has a unique connection with his family. What is it?"
Premam                                   ,          2015, 2h 29m  , Romance        , Romance        , "George, a teenager, loves the idea of being in love. This dream seems to be within his reach in his school days and even in his college days, but it fails to materialise. However, all is not lost yet!"
Jaguar                                   ,          2016, 1h 51m  , Action         , Action         , "To avenge his father's death, a young medical student, Krishna takes law into his own hands. On the road to justice, he falls in love with his classmate."
Madras                                   ,          2014, 2h 22m  , Action         , Action         , Kaali and his politically charged friend Anbu get into a heated debate over walls on which to put up party posters. How far will they go to prove their point?
Raju Gari Gadhi 3                        ,          2019, 1h 58m  , Horror         , Horror         , A loving couple's joy is short-lived when they feel the presence of an unknown spirit in their life. Their adventure begins when they decide to fight back.
Son Of Sardaar                           ,          2012, 2h 9m   , Comedy         , Comedy         , "Jassi falls head over heels in love with Sukhmit, only to discover her family is out to finish him over an old family feud. How will love triumph over revenge?"
Daring Raajakumara                       ,          2017, 2h 4m   , Action         , Action         , "A dutiful son, a prince in his fathers' eyes, retains his purity of character despite the many challenges thrown his way."
Dolly Ki Doli                            ,          2015, 1h 33m  , Comedy         , Comedy         , "Dolly has a lucrative con career - woo unsuspecting men, trap them into marriage and finally rob them off. All is well until a cop decides to spoil the party."
Golondaaj                                ,          2021, 2h 23m  , Biopic         , Biopic         , "From a regular boy to becoming the first Indian to open a football club, here's the journey of Nagendra Prasad Sarbadhikari, the Father of Indian Football."
Veerey Ki Wedding                        ,          2018, 2h 4m   , Comedy         , Comedy         , "Lovebirds Veer and Geet are soon to get married, however, problems arise when the groom-to-be messes up his first meeting with Geet’s peace-loving father."
Gang Leader                              ,          2019, 2h 35m  , Comedy         , Comedy         , Pencil is a budding crime novelist looking for inspiration when he crosses paths with five generations of women who come together with for vengeance.
Samhaara                                 ,          2018, 2h 3m   , Action         , Action         , "A visually impaired chef, Srishaila's life takes a turn for the worse when the girl he loves, traps him in a murder case."
S/o Satyamurthy                          ,          2015, 2h 34m  , Drama          , Drama          , The son of a rich tycoon flies back to India after his father's demise only to fall in love with a beautiful woman. Now he has to impress her father.
Khosla Ka Ghosla                         ,          2006, 2h 4m   , Comedy         , Comedy         , A retired middle-class man fails to get his land back from a cunning dealer. His son comes to his rescue with a dramatic plan. - ok
Badmaash                                 ,          2016, 1h 38m  , Romance        , Romance        , "Vijay and Priya are head over heels in love with each other. When a cruel villain enters their life, Vijay has to use all his wits to win his love back."
Little Krishna II - The Legendary Warrior,          2009, 1h 30m  , Kids           , Kids           , It is about Lord Krishna’s fight against his evil uncle Kansa.
Rajathanthiram                           ,          2015, 2h 5m   , Drama          , Drama          , "When a conman falls for a woman, he plans a big job to help her get rid of her financial troubles. However, their ploy fails and a cat-and-mouse game ensues."
Golmaal: Fun Unlimited                   ,          2006, 2h 21m  , Comedy         , Comedy         , "Spinning a web of lies, four crooks seek shelter in a bungalow owned by a blind couple. But hilarity ensues when they all fall in love with a girl next door."
Ziddi                                    ,          1997, 2h 29m  , Action         , Action         , Deva’s life is shattered when the police implicate him in the murder of his brother and sister. Will he be able to prove his innocence?
Ticha Umbartha                           ,          2016, 1h 57m  , Drama          , Drama          , "Based on a play by Jayant Pawar named Maza Ghar, Vibha strives to make her place in the society after being wrongly rejected by her husband."
Himmat                                   ,          2016, 2h 12m  , Action         , Action         , "An ex-military officer turned vigilante, Gana falls in love with Hansita, who agrees to marry him only if he gives up his violent ways. Will he?"
Saamy 2                                  ,          2018, 2h 28m  , Action         , Action         , "When Aarusaamy's son finds out the truth about his parents' murder, he decides to seek revenge from Ravana Pichai and put an end to his criminal activities."
RX100                                    ,          2018, 1h 58m  , Action         , Action         , "Shiva falls in love with Indu, the daughter of a local politician. When circumstances separate the lovers, Shiva discovers Indu's ulterior motive."
Ohm Shanthi Oshana                       ,          2014, 2h 4m   , Romance        , Romance        , "A school-going tomboy falls in love with a farmer after he saves her from goons. When he turns her down, she takes it up as a challenge to win his heart."
Shootout At Lokhandwala                  ,          2007, 1h 50m  , Action         , Action         , "With 1,755 rounds fired in 6 hours, ACP Shamsher Khan and his team eliminated Mumbai’s dreaded gangster Maya Dolas and his gang. Based on true rumours."
Humshakals                               ,          2014, 2h 22m  , Comedy         , Comedy         , "Close friends Ashok, Kumar and their Mamaji’s life turns into a total chos when two lookalikes of each of the three land in their lives."
Vishwaroopam 2                           ,          2018, 2h 15m  , Action         , Action         , "It's a battle of brain, brawn and emotions for RAW agent Wisam Ahmad Kashmiri who struggles between eliminating his nemesis and maintaining a personal life."
Phir Se Mafiaraaj                        ,          2015, 1h 59m  , Action         , Action         , "A young boy witnesses his mother being killed. Years later, he encounters the killer while rescuing a girl from forced prostitution. Will he avenge her death?"
10 Ka Dum                                ,          2015, 2h 14m  , Action         , Action         , "A local don hires a driver, Vikram, to escort a young woman to Daksha Bhai's house. A game of cat and mouse begins when Vikram realises their true motive."
Once Upon A Time in Mumbaai              ,          2010, 2h 8m   , Action         , Action         , "Sultan rules the hearts but tops the wanted list. However, his reign in Mumbai is threatened when his protégé turns overambitious and a bloodbath ensues."
S3                                       ,          2017, 2h 24m  , Action         , Action         , A dutiful rowdy cop is deputed to deal with the murder case of a police commissioner. But there's more than what meets the eye.
Dharma Durai                             ,          2017, 1h 56m  , Drama          , Drama          , "Dharmadurai, an alcoholic, meets his college friend Suhasini who gets him back on his feet. But when his dreaded past returns, his old wounds surface."
O Kadhal Kanmani                         ,          2015, 2h 13m  , Romance        , Romance        , "Aditya and Tara fall in love and decide on a live-in relationship. However, their perception of marriage changes when they meet an old couple in love."
Bhaag Johnny                             ,          2015, 1h 52m  , Action         , Action         , "In order to save his job, Johnny is asked to murder a beautiful girl by his boss. When he falls in love with her, a 'genie' helps him make the right choice."
Maayakumari                              ,          2023, 2h 21m  , Mystery        , Mystery        , "A filmmaker plans a biopic on the mystical yet legendary actress Maayakumari. As the shoot begins, he reflects on her stardom and mysterious disappearance."
Saat Uchakkey                            ,          2016, 2h 10m  , Comedy         , Comedy         , "Seven crooks in old Delhi earn their living by coning people. When they set out for a big heist in a old palace, things take a hilarious turn for the worst."
Baghban                                  ,          2003, 2h 50m  , Drama          , Drama          , Elderly couple Raj and Priya wish for their children to take care of them. But what they got in return was a lot of pain.
Khichdi The Movie                        ,          2010, 1h 51m  , Comedy         , Comedy         , Himanshu and Parminder are all set to tie the knot but things go hilariously wrong when he tries adding adventure to his love story.
Dookudu                                  ,          2011, 2h 47m  , Action         , Action         , "Tough cop Ajay, the son of an MLA, sets out to hunt Nayak and other criminals. But he has to do so without letting his father know about the dangers involved."
Welcome Home                             ,          2019, 2h 3m   , Family         , Family         , Professor Saudamini is thrust into turmoil after she decides to veer from her crumbling marriage. What follows is her journey as she grapples with her decision.
Adanga Maru                              ,          2018, 2h 24m  , Action         , Action         , A righteous cop's career and personal life turn catastrophic after he locks horns with a few influential people. But he's had enough and decides to fight back.
C/o Surya                                ,          2017, 1h 46m  , Action         , Action         , Best friends Surya and Mahesh happily run their catering business. But fate has other plans when they are caught in the middle of a crime ring.
Aksar                                    ,          2006, 1h 33m  , Romance        , Romance        , "Bound by an expensive pre-nuptial agreement, Rajveer cannot divorce his wife Sheena. Things go awry when he hires Vicky, a womaniser, to get rid of his wife."
Kali                                     ,          2016, 1h 50m  , Thriller       , Thriller       , "Sidharth has anger-management issues. One scary night, his short temper just may land him and his wife in serious trouble."
Gulmohar                                 ,          2023, 2h 11m  , Family         , Family         , "Batra family has just four days left to vacate their house of 34 years. Amidst the mayhem, uncertainties of the future, insecurities and secrets surface."
Rehnaa Hai Terre Dil Mein                ,          2001, 2h 37m  , Romance        , Romance        , "Ready to go to any lengths to win over Reena, Maddy impersonates Rajeev, Reena’s to be fiancé. Will Reena discover the truth?"
Sotoroi September                        ,          2019, 1h 40m  , Drama          , Drama          , "Amid the ever-busy lifestyle of Kolkata, Neel and Labanya’s happiness stands as a facade of a troubled marriage. Will divorce be the only way out?"
Indru Netru Naalai                       ,          2015, 2h 18m  , Comedy         , Comedy         , "A scientist from 2065 sends a time machine back to 2015, programming it to return within 40 seconds. Things take a hilarious turn when it doesn't come back."
Masaan                                   ,          2015, 1h 37m  , Drama          , Drama          , An intertwined tale of a girl caught making out in a hotel and a young low-caste boy falling in love with an upper-class girl. What's in store for them?
Villah                                   ,          2013, 1h 38m  , Horror         , Horror         , Can art foretell the future? A novelist inherits a villa full of his artist father's paintings that begin making ominous predictions.
24 Ghante in Chennai                     ,          2013, 1h 29m  , Thriller       , Thriller       , "The lives of a superstar, a doctor and a journalist are in the hands of a traffic police inspector and their city."
8 Thottakal                              ,          2017, 2h 7m   , Thriller       , Thriller       , "Sathya, an honest cop, accidentally loses his loaded service pistol. When Murthy, a suspended constable with a dark past, finds it he goes on a killing spree."
Bade Miyan Chote Miyan                   ,          1998, 2h 20m  , Comedy         , Comedy         , "Unaware that their lookalikes are using their identities for petty thefts, honest cops Arjun Singh and Pyare Mohan are baffled. Can they catch the duplicates?"
Lootera                                  ,          2013, 2h 13m  , Romance        , Romance        , "Unaware of Varun’s intentions, Pakhi decides to marry him. Left at the altar, she must face his harsh truth."
Meaghamann                               ,          2014, 2h 10m  , Action         , Action         , An undercover agent is assigned to expose a drug racket and make a wanted drug lord come out of hiding. Will he succeed?
Bayama Irukku                            ,          2017, 1h 46m  , Comedy         , Comedy         , "When a group of friends find out that the wife of one of their friend is possessed, they decide to exorcise her!"
Athadu                                   ,          2005, 2h 52m  , Action         , Action         , "When an innocent person Pardhu dies instead of Nandu, a hitman and ends up at the victim's house, he is mistaken to be Pardhu. How long will the deception last?"
Action Jackson                           ,          2014, 2h 17m  , Action         , Action         , "A small-time crook Vishi has just about managed to prove his worth to his beloved, when his professional assassin body double bursts onto the scene."
Khel Mandala                             ,          2011, 2h 3m   , Drama          , Drama          , "Puppeteer Dasu finds an abandoned girl who is handicapped. He takes on the challenge of bringing her up, but what happens when her parents return for her?"
Jigar Kaleja                             ,          2010, 2h 29m  , Action         , Action         , "Things spiral out of control when a mysterious disease ravages a village. Unexpectedly, Raju, a cab driver, becomes a saviour with his supernatural potential."
Brahma Janen Gopon Kommoti               ,          2020, 2h      , Drama          , Drama          , "Inspired by her father's work, Sanskrit professor Shabari wants to become a priest! But, will the society let her follow her passion?"
Guru                                     ,          2017, 1h 33m  , Drama          , Drama          , "A failed boxer decides to train a young vegetable seller. But, when both the coach and the student have temperament issues, how will they get along?"
Chennai 600028                           ,          2016, 2h 26m  , Comedy         , Comedy         , "The Chennai Sharks reunite for Raghu's wedding. However, a cricket match against a local team soon causes a series of unfortunate events in their lives."
Shootout At Wadala                       ,          2013, 2h 12m  , Action         , Action         , "A bright college student, Manya Surve, sets foot on the wrong path when his brother is shot dead. Based on a true story."
Deewana                                  ,          1992, 2h 37m  , Romance        , Romance        , "A grieving widow Kajal crosses paths with Raja, who falls head over heels in love with her. But chaos ensues when her husband Ravi returns from the dead."
Sardar Gabbar Singh                      ,          2016, 2h 38m  , Action         , Action         , "Two childhood friends, Gabbar Singh and Samba, become police officers and decide to fight crime together. But what happens when they are at crossroads?"
Varathan                                 ,          2018, 2h 3m   , Thriller       , Thriller       , Moving back to their ancestral home in Kerala from Dubai was not an easy choice for Abin and Priya. But they may have got more than what they bargained for.
Maine Pyaar Kyun Kiya                    ,          2005, 2h 16m  , Comedy         , Comedy         , "To win over Sonia’s love, Samir spins up the story of his failed marriage and seeks sympathy. But chaos ensues when she insists on meeting his wife."
The Legend of Michael Mishra             ,          2016, 1h 58m  , Comedy         , Comedy         , "To win back his childhood sweetheart, Bhaiyyaji, a tailor-turned-kidnapper decides to give up his criminal ways. Will he succeed?"
Idharkuthane Aasaipattai Balakumara      ,          2013, 2h 16m  , Comedy         , Comedy         , "While jobless Kumaravel sails in a one-sided love boat, Bala juggles work pressure and a possessive girlfriend. However, their paths cross hilariously."
Gayatri                                  ,          2018, 1h 43m  , Action         , Action         , "Sivaji reunites with his daughter who was missing for two decades. On learning that she was kidnapped by his lookalike, Sivaji decides to bring him to book."
Tango Charlie                            ,          2005, 2h 11m  , Action         , Action         , "Tarun, a rookie BSF officer, learns patriotism and brotherhood as well as the heavy cost of war from his comrade, Havaldar Mohammed Ali. This internationally acclaimed anti-war film follows the lives of BSF soldier Tarun Chauhan (Bobby Deol) and stars Sanjay Dutt, Suniel Shetty and Ajay Devgn as armed forces officers involved in military operations across the country."
Sweater                                  ,          2019, 1h 50m  , Drama          , Drama          , "After facing multiple rejections, Tuku agrees to learn knitting at the insistence of a prospective mother-in-law, only to rediscover her life and relationships."
Ek Ultimate Chaalbaaz                    ,          2015, 2h 4m   , Action         , Action         , Arjun and his jobless friends are petty thieves. Things take a comical turn when these rookies are hired to pull off the biggest heist. Can they crack it?
Tholi Prema                              ,          1998, 2h 24m  , Romance        , Romance        , "While Balu falls in love with Anu at first sight, she is oblivious to his feelings. However, he has to face a lot of challenges to win her heart."
Vikram Vedha                             ,          2017, 2h 10m  , Thriller       , Thriller       , "Police officer Vikram finally captures Vedha, a dreaded gangster. When the latter engages Vikram in a mind game, it challenges his notion of good and evil."
Ishq                                     ,          1997, 2h 36m  , Comedy         , Comedy         , "When Ajay and Madhu's rich dads oppose their relationship with Kajal and Raja because they are poor, the four rally behind their love and concoct ways to rebel."
Maari 2                                  ,          2018, 2h 20m  , Action         , Action         , "Maari, a local don, in his new naughty-turned-nice avtar, manages to get into the bad books of Beeja, a Murakami fan, who will stop at nothing to destroy him."
Phillauri                                ,          2017, 2h 10m  , Romance        , Romance        , "Karan returns to India to marry his girlfriend. Little does he realise that he will have to marry a tree first with a ghost, who now calls him her husband."
Little Krishna III - The Wondrous Feats  ,          2009, 1h 34m  , Kids           , Kids           , "The story of Lord Krishna fighting dangerous demons like Aghasura, dreadful Vatsasura, and wicked Vyomasura."
Humko Deewana Kar Gaye                   ,          2006, 2h 28m  , Drama          , Drama          , "Betrothed to different people, Aditya and Jia meet by chance and fall in love. Will they sacrifice their happiness for prior commitments?"
Pokiri                                   ,          2006, 2h 32m  , Action         , Action         , "Pandu, a thug, takes assignments from local dons to make money and woo Shruthi. However, he discovers a shocking truth about himself."
31st October                             ,          2016, 1h 36m  , Action         , Action         , "In the aftermath of Indira Gandhi's assassination, Devender Singh and his family get trapped in endless danger as the anti-Sikh riots break out in Delhi."
Krishna Cottage                          ,          2004, 2h 1m   , Horror         , Horror         , "On a wintry night, a group of college students take shelter at the deserted Krishna Cottage. But they feel a menacing presence that’s keeping a watch."
Sarkar                                   ,          2018, 2h 25m  , Action         , Action         , "An NRI goes to extreme lengths to raise awareness against electoral fraud and eventually contests as a non-partisan politician, risking his own life."
Koode                                    ,          2018, 2h 26m  , Drama          , Drama          , "After years of being away in Dubai, Joshua returns for his sister's funeral. But it gets weird when he starts seeing his beloved sister's spirit."
Zameen                                   ,          2003, 1h 58m  , Action         , Action         , "When an Indian plane is hijacked by terrorists, a strict army man must forget his past and team up with a diligent ACP to plan a rescue mission."
Ekkees Toppon Ki Salaami                 ,          2014, 2h 13m  , Comedy         , Comedy         , Subhash and Shekhar set out to get their father the mark of respect he deserved. Can the two determined brothers get their late father a 21-gun salute?
                                         ,          2007, 2h 9m   , Action         , Action         , "To avenge the acid attack on his sister, Dev traces down the culprit and kills him. All hell breaks loose when the culprit’s family seeks revenge on Dev."
Atharintiki Daaredi                      ,          2013, 2h 46m  , Drama          , Drama          , "Gautam promises to reconcile his aunt and her father. His cousins, however, display unusual animosity. Now, Gautam has to use every trick to win them over."
Vinaya Vidheya Rama                      ,          2019, 2h 7m   , Action         , Action         , "Ram, a righteous man, who is devoted to his foster brothers, finds his life falling apart when a cruel dictator targets his peace-loving family."
Ajnabhi Se Pyar                          ,          2021, 2h 9m   , Drama          , Drama          , "Despite being let down by societal stereotypes, Basti Balaraju tries his best to woo a young widow but to no avail. Will he manage to win her over?"
Nishyabda 2                              ,          2018, 1h 42m  , Thriller       , Thriller       , "Three robbers try to dupe a visually impaired veteran, unaware of the horrors that await them."
Monsoon Shootout                         ,          2017, 1h 26m  , Crime          , Crime          , A rookie cop's first assignment turns into his life's biggest dilemma - to shoot or not. Does every choice have a price?
Mirchi Malini                            ,          2018, 43m     , Thriller       , Thriller       , Mirchi Malini predicts the future of a person by tasting the food cooked by them. Hell breaks loose when a few chosen ones have to taste the food cooked by her.
Shororipu 2: Jotugriho                   ,          2021, 2h 2m   , Mystery        , Mystery        , "A mysterious death makes Detective Chandrakanta spring into action! His first suspect is the dead man’s wife but as he delves deeper, dark secrets unfold."
Trigger                                  ,          2022, 2h 10m  , Action         , Action         , "A series of kidnappings is sweeping the state! Racing against time, an undercover cop must unravel the racket whilst probing its connection with his father."
DJ [Duvvada Jagannadham]                 ,          2017, 2h 21m  , Action         , Action         , An undercover officer fights crime in the guise of a priest. Things take a turn when he falls in love with the daughter of a corrupt minister.
Bhale Bhale Magadivoy                    ,          2015, 2h 17m  , Romance        , Romance        , "Lucky, an amnesiac scientist, falls in love with Nandana. Trouble begins when he fails to keep up with his amnesia and his aim to prove his worth to her father."
Bobby Jasoos                             ,          2014, 1h 56m  , Drama          , Drama          , "Bobby, a small-time detective in Hyderabad, gets a breakthrough when a rich man hires her. Unaware of his real intentions, Bobby sets out on a risky path."
Aata - The Game of Fear                  ,          2016, 1h 45m  , Horror         , Horror         , "Three aspiring software professional girls start working on a horror short film to pursue their dreams. Unknowingly, their reel-life story becomes real."
Biwi No. 1                               ,          1999, 2h 12m  , Comedy         , Comedy         , "Pooja's happiness is threatened when her husband cheats on her and moves in with a hot model. To get him back in line, she decides to get even in her own way."
Richie                                   ,          2017, 1h 38m  , Crime          , Crime          , "In a quest to unravel the truth behind a certain Christmas eve, journalist Megha comes across multiple perspectives and evidence, leading her to Richie."
Vishwaroopam                             ,          2013, 2h 20m  , Action         , Action         , "When Nirupama tries to find a reason to divorce Vishva, she is unaware of his ties to the underworld. However, she finds out, and all hell breaks loose."
Good Luck                                ,          2018, 44m     , Thriller       , Thriller       , "It's about a salesman named Peter, who goes door-to-door to sell ‘Good Luck’. Will he find any buyers?"
2 Countries                              ,          2015, 2h 28m  , Comedy         , Comedy         , A con man gets lucky when he marries a wealthy Indian woman settled in Canada. Life is now a bed of roses for him. Or is it?
Julayi                                   ,          2012, 2h 26m  , Action         , Action         , "Though intelligent, Ravi believes in shortcuts to make money over hard work. His life changes when he crosses paths with Bittu, a gangster who robs a bank."
L7                                       ,          2016, 1h 46m  , Horror         , Horror         , Arun and Sandhya begin their happily ever after in a new home. Their happiness is short-lived as Arun discovers that Sandhya is possessed. Is she?
Hum Hain Rahi Pyar Ke                    ,          1993, 2h 37m  , Comedy         , Comedy         , "Rahul is the guardian of his mischievous nephews, Sunny and Vicky, and a niece, Munni. Chaos ensues when the kids decide to shelter a runaway girl, Vyjayanti."
Kanchana                                 ,          2011, 2h 14m  , Horror         , Horror         , "A man sets out to overcome his fear of ghosts, only to get possessed by one. Hungry for revenge, the ghost makes him do her bidding."
Traffic                                  ,          2016, 1h 40m  , Action         , Action         , A traffic constable accepts the challenge of traversing 150 km by road to transport a donor's heart for an immediate transplant. Inspired by a true event.
Ragasiyam                                ,          2018, 1h 51m  , Thriller       , Thriller       , Six different people struggle with problems of their own. The only thing they have in common is a mass murderer who decides to end their lives.
Indu Sarkar                              ,          2017, 2h 8m   , Thriller       , Thriller       , "Set during the Indian Emergency, a simple housewife's life changes when she ventures into an area where residents are protesting against the government."
Hanuman Da’Damdaar                       ,          2017, 1h 39m  , Kids           , Kids           , "To prove that he is a brave boy, Maruti, a young boy sets out on a jungle adventure and transforms into India's original superhero, Hanuman."
Tenali Ramakrishna BA BL                 ,          2019, 2h      , Drama          , Drama          , "Small-time lawyer Tenali Ramakrishna will do anything to make money, even lose a case on purpose. But then he takes up a case that changes his life forever."
Main Aur Charles                         ,          2015, 1h 52m  , Crime          , Crime          , "Charles was charming and charismatic but evil personified. Known as the bikini killer, he was the most wanted criminal. Inspired by true events."
Theal                                    ,          2022, 1h 49m  , Action         , Action         , "Durai, a debt collector, tortures the poor while executing orders of a loan shark. Things take a turn when a woman enters his life, claiming to be his mother."
Shaadi Ke Side Effects                   ,          2014, 2h 15m  , Comedy         , Comedy         , Siddharth and Trisha's happy married life takes a hit when they discover they are pregnant. Parenthood or splitsville - what is the way for them?
Mantra 2                                 ,          2015, 1h 43m  , Thriller       , Thriller       , "Having moved to a new city for a job, Mantra stays with an elderly couple as a paying guest. Things go wrong when she realises something is wrong with them."
Akhil                                    ,          2015, 1h 39m  , Action         , Action         , "To acquire a magical stone, a Russian gangster wreaks havoc in a village. However, Akhil, arrives as a godsend and battles the odds to protect the villagers."
Rum                                      ,          2017, 1h 47m  , Horror         , Horror         , "A thief and his friends experience spooky incidents in an old bungalow, where they are hiding after committing a robbery."
Raghuvaran B. Tech                       ,          2015, 2h 5m   , Drama          , Drama          , "An engineer without a job, Raghuvaran slips into depression after his mother dies. However, life changes when he gets a project and falls for his neighbour."
Dongri Ka Raja                           ,          2016, 2h 6m   , Drama          , Drama          , "Raja, the wingman of Dongri's most powerful don, is next to take his legacy forward. All is well until he falls in love and decides to quit the path of crime."
Vinashak                                 ,          1998, 2h 12m  , Action         , Action         , "Arjun, an honest police officer, pose as a prisoner to expose illegal activities carried out by Lankeshwar, a jailor. But the task is not as easy as it seems."
Velaikkaran                              ,          2017, 2h 31m  , Thriller       , Thriller       , "Hailing from a slum, an enterprising young man wages a war against companies involved in food adulteration. Will he be successful?"
Ustad Hotel                              ,          2012, 2h 24m  , Comedy         , Comedy         , "When his father refuses to support his choice of a career, an aspiring chef tries to fulfil his dream by helping his grandfather run his small eatery."
Hanuman Vs Mahiravana                    ,          2018, 1h 27m  , Kids           , Kids           , "The story of Hanuman saving Rama and Lakshmana from Mahiravana, Ravana's brother, and a dark and powerful sorcerer."
Gimmick                                  ,          2019, 2h 16m  , Horror         , Horror         , "Happy-go-lucky Gani falls head over heels in love with Raani. To separate them, Raani’s father plots a fake wedding in a haunted house. And things go awry!"
Hadh Kar Di Aapne                        ,          2000, 2h 13m  , Comedy         , Comedy         , "Anjali and Raj meet in Europe and fall in love, unaware that they are spying on each other for their best friends."
Khaidi No. 150                           ,          2017, 2h 17m  , Action         , Action         , "Kaththi Seenu, a convict on the run, meets his lookalike, Shankar, and sends him to prison. But things change when he gets a sneak peek into Shankar's life."
Well Done Abba                           ,          2010, 2h 14m  , Comedy         , Comedy         , "Tired of bureaucratic delays, chauffeur Armaan Ali takes matters into his own hands to save his draught-stricken village. But can he fight the big guns?"
Magadheera                               ,          2014, 2h 32m  , Action         , Action         , "Satya and Deepthi are mercilessly attacked and left for dead. Unfortunately for their assailants, he re-emerges with a relentless need for vengeance."
Mass Leader                              ,          2017, 1h 56m  , Action         , Action         , Honest army officer Captain Shivraj's happy life takes a drastic turn when his family is killed in a terrorist attack.
Piya Re                                  ,          2018, 2h 13m  , Romance        , Romance        , "Rabi falls in love with Riya, who lives in a slum. Initially reluctant, soon she unites with him only to mysteriously disappear one fine day."
Dulhan Hum Le Jayenge                    ,          2000, 2h 12m  , Romance        , Romance        , "Raised by three eccentric uncles, Sapna is pampered and protected. Unaware that Sapna is in love with Raja, the three set out to find a suitor for her."
Aisha                                    ,          2010, 2h 6m   , Romance        , Romance        , "Aisha thinks she is a perfect matchmaker, despite her neighbour Arjun's warning. As she continues to meddle in others' lives, she falls short of her own."
Guddu Rangeela                           ,          2015, 1h 59m  , Comedy         , Comedy         , "Two small-town musicians kidnap a young woman in order to make a quick buck, but earn the wrath of a powerful politician in the bargain."
Manmadhudu                               ,          2002, 2h 22m  , Comedy         , Comedy         , "A man who despises women is forced to work with an attractive and smart woman. Will his attempts to get her to quit the job be successful, or will Cupid strike?"
Roy                                      ,          2015, 2h 19m  , Romance        , Romance        , "A casanova filmmaker feels lonely after a heartbreak. Meanwhile, a notorious art thief has a change of heart after falling in love. Are there any dots to join?"
Maari                                    ,          2015, 2h 11m  , Action         , Action         , "Maari, a local don, is notorious for troubling people and extorting money. Tables turn when he falls for Sridevi, who gives him a taste of his own medicine."
Tezz                                     ,          2012, 1h 56m  , Thriller       , Thriller       , "Aakash plots a terrorist attack on a train in London. Arjun, an officer on the brink of retirement, tries to negotiate with him. Who will win this war?"
Kyo Kii... Main Jhuth Nahin Bolta        ,          2001, 2h 30m  , Comedy         , Comedy         , "Raj, a lawyer, has no qualms about lying through his teeth to win cases. However, his behaviour takes a U-turn one day when he can't stop speaking the truth."
