Title                                    , Released year, Duration, Genre          , Language       , Description
Jamai Badal                              ,          2019, 2h 15m  , Comedy         , Comedy         , "Good-for-nothing Krish falls in love with Barsha, but she puts forth a difficult condition. What ensues next is total chaos, confusion and comedy."
India’s Most Wanted                      ,          2019, 2h 1m   , Action         , Action         , "Five ordinary men, one global terrorist, witness India's biggest manhunt operation in this film inspired by true events."
The Big Bull                             ,          2021, 2h 33m  , Crime          , Crime          , "During the late '80s, Hemant Shah, the man with the Midas touch, pulled off the biggest hustle that shook India's financial fabric. Inspired by true events."
Khuda Haafiz                             ,          2020, 2h 13m  , Action         , Action         , A newly married couple's life falls in jeopardy when his wife goes missing under mysterious circumstances.
Sarsenapati Hambirrao                    ,          2022, 2h 31m  , Historical     , Historical     , "In a conflict-torn era, the Maratha commander-in-chief Hansaji Mohite braves against the Mughals under the leadership of Chhatrapati Shivaji Maharaj."
Mission Mangal                           ,          2019, 2h 10m  , Drama          , Drama          , Based on the true story of India's finest scientists who rose above hardships and failures to make us the only country to reach Mars in its first attempt.
Hate Story 2                             ,          2014, 2h 2m   , Thriller       , Thriller       , "Hell hath no fury like a woman wronged! After witnessing her lover die, Sonika goes on a killing spree to avenge him."
Junglee                                  ,          2019, 1h 54m  , Action         , Action         , "Back in his hometown after years, Raj befriends Bhola, an elephant. As time passes, he discovers a deep-rooted poaching scandal, which changes his life forever."
Jolly LLB 2                              ,          2017, 2h 11m  , Drama          , Drama          , "A small-time lawyer tricks an innocent woman to make it big. However, a life-changing incident leaves him fighting an earnest battle for justice."
Arundhati                                ,          2014, 2h 16m  , Drama          , Drama          , "A lookalike of warrior queen Jejamma takes birth as Arundhati in the modern era. Unaware of the truth, Arundhati must battle a revenge-seeking foe to survive."
Baby                                     ,          2015, 2h 33m  , Action         , Hindi          , "Post 26/11 Mumbai attacks, a special intelligence task force will stop at nothing to foil another such assault on the Indian soil."
Lootcase                                 ,          2020, 2h 11m  , Comedy         , Comedy         , What will you do if you find a bag full of cash? Nandan Kumar faces a similar dilemma when a bag triggers a chain of chaos in his life. Kya iss bag mein kuch kaala hai?
Hate Story 3                             ,          2015, 1h 53m  , Thriller       , Thriller       , "Climbing up the success ladder, Aditya, a businessman makes many enemies. Now, one of them is back to seek revenge."
Badhaai Ho                               ,          2018, 2h 3m   , Comedy         , Comedy         , Getting a new sibling at 25 is the last thing Nakul expected. Will he ever come to terms with the embarrassing 'good news' of his parents being pregnant?
Bajrangi Bhaijaan                        ,          2015, 2h 32m  , Drama          , Drama          , "A simple guy, Pawan Kumar Chaturvedi, who is a Hanuman bhakt takes it upon himself to help a lost; mute girl, reach her home in Pakistan!"
Kaun Pravin Tambe?                       ,          2022, 2h 13m  , Biopic         , Hindi          , "Relentless effort can make an underdog rise to the top, and cricketer Pravin Tambe's extraordinary journey proves why age is just a number."
Freddy                                   ,          2022, 2h 3m   , Drama          , Drama          , "Introverted and awkward Dr Freddy Ginwala desperately searches for a soulmate. When he finally finds her, the relationship becomes as painful as a root canal."
De De Pyaar De                           ,          2019, 2h 14m  , Comedy         , Comedy         , "50-year-old Ashish has fallen in love with Ayesha, who is half his age. Their romance turns into a comedy, when he takes her to meet his parents and ex-wife."
