title,released_year,duration,genre,description
Lajja                                    ,2001,3h 6m   ,Action         ,"Tormented by her abusive husband, Vaidehi decides to escape her marriage. After meeting three courageous women, she leads a fight against male chauvinism."
Rehnaa Hai Terre Dil Mein                ,2001,2h 37m  ,Romance        ,"Ready to go to any lengths to win over Reena, Maddy impersonates Rajeev, Reena’s to be fiancé. Will Reena discover the truth?"
Nuvvu Naaku Nachav                       ,2001,2h 59m  ,Romance        ,"Venky, an unemployed youth, heads to Hyderabad to attend a wedding. A brief vacation gradually turns into something more as the soon-to-be bride falls for him."
Mujhe Kuch Kehna Hai                     ,2001,2h 15m  ,Romance        ,"Karan is instantly smitten with Pooja. Painfully shy, he can't express his feelings to her, but fate makes them meet repeatedly. Can he ever profess his love?"
Pyaar Tune Kya Kiya                      ,2001,1h 36m  ,Thriller       ,"Jai, a photographer, meets headstrong Ria. Unaware of his marital status, she falls for him. Soon her love takes an obsessive turn."
Om Jai Jagdish                           ,2002,2h 30m  ,Family         ,"Circumstances force three brothers to go their separate ways, but when their ancestral house is being auctioned they join forces."
Humraaz                                  ,2002,2h 47m  ,Thriller       ,"Karan conspires with his girlfriend Priya to usurp the vast estate of Raj, a wealthy industrialist. Chaos ensues when Priya falls in love with Raj."
Jeena Sirf Merre Liye                    ,2002,2h 18m  ,Romance        ,"Pooja and Karan are childhood friends. They lose touch when Pooja relocates. All grown up, they meet as strangers while searching for each other."
Manmadhudu                               ,2002,2h 22m  ,Comedy         ,"A man who despises women is forced to work with an attractive and smart woman. Will his attempts to get her to quit the job be successful, or will Cupid strike?"
Hungama                                  ,2003,2h 22m  ,Comedy         ,Three misfits find their lives intertwined with desi millionaire Radheshyam Tiwari in a case of mistaken identities that ignites a comedy of errors.
Santrash                                 ,2003,2h 17m  ,Thriller       ,"Shubhankar is on a quest of a man, who can help him avenge the murder of his brother at the hands of a corrupt minister."
Baghban                                  ,2003,2h 50m  ,Drama          ,Elderly couple Raj and Priya wish for their children to take care of them. But what they got in return was a lot of pain.
Zameen                                   ,2003,1h 58m  ,Action         ,"When an Indian plane is hijacked by terrorists, a strict army man must forget his past and team up with a diligent ACP to plan a rescue mission."
Krishna Cottage                          ,2004,2h 1m   ,Horror         ,"On a wintry night, a group of college students take shelter at the deserted Krishna Cottage. But they feel a menacing presence that’s keeping a watch."
Chameli                                  ,2004,1h 26m  ,Drama          ,"On a stormy night, a sudden encounter with Chameli, a prostitute changes the life of a depressed investment banker, forever."
Anand                                    ,2004,2h 31m  ,Drama          ,"Roopa calls off her wedding after her parents die in an accident. However, things change when the son of the man who caused the accident moves in next door."
Julie                                    ,2004,1h 48m  ,Drama          ,"A victim of circumstances, disillusioned Julie becomes a call girl. She meets Mihir, and they fall in love. Will he accept her for what she is?"
Taarzan: The Wonder Car                  ,2004,2h 36m  ,Action         ,"Raj repairs his deceased father Deven's unfinished car. Although a futuristic vehicle, it becomes too much for Raj to handle."
Maine Pyaar Kyun Kiya                    ,2005,2h 16m  ,Comedy         ,"To win over Sonia’s love, Samir spins up the story of his failed marriage and seeks sympathy. But chaos ensues when she insists on meeting his wife."
Shabd                                    ,2005,2h 22m  ,Drama          ,"Seeking an inspiration for a story, Shaukat manipulates the lives of his wife and her colleague. Soon, his obsession with the story blurs Shaukat's reality."
Tango Charlie                            ,2005,2h 11m  ,Action         ,"Tarun, a rookie BSF officer, learns patriotism and brotherhood as well as the heavy cost of war from his comrade, Havaldar Mohammed Ali. This internationally acclaimed anti-war film follows the lives of BSF soldier Tarun Chauhan (Bobby Deol) and stars Sanjay Dutt, Suniel Shetty and Ajay Devgn as armed forces officers involved in military operations across the country."
Athadu                                   ,2005,2h 52m  ,Action         ,"When an innocent person Pardhu dies instead of Nandu, a hitman and ends up at the victim's house, he is mistaken to be Pardhu. How long will the deception last?"
Garam Masala                             ,2005,2h 17m  ,Comedy         ,"Mac, a womaniser, is dating three ladies at the same time. Chaos ensues when Shyam, once Mac’s best friend and now a sworn enemy, decides to disrupt his life."
Chatrapathi                              ,2005,2h 39m  ,Action         ,"Shivaji, a Sri Lankan Tamil, lands in Vizag after political upheaval in his hometown. The situation worsens when his jealous stepbrother enters his life."
Lucky: No Time For Love                  ,2005,2h 13m  ,Drama          ,"After narrowly escaping a molester, Lucky seeks shelter in Aditya’s car. Chaos ensues when a terrorist attack breaks out, but the two stand by each other."
Kya Kool Hai Hum                         ,2005,2h 26m  ,Comedy         ,Hard-working Rahul and good-for-nothing Karan's lives turn upside down when Rahul is accused of the rape and murder spree happening in the city.
Pokiri                                   ,2006,2h 32m  ,Action         ,"Pandu, a thug, takes assignments from local dons to make money and woo Shruthi. However, he discovers a shocking truth about himself."
Golmaal: Fun Unlimited                   ,2006,2h 21m  ,Comedy         ,"Spinning a web of lies, four crooks seek shelter in a bungalow owned by a blind couple. But hilarity ensues when they all fall in love with a girl next door."
Humko Deewana Kar Gaye                   ,2006,2h 28m  ,Drama          ,"Betrothed to different people, Aditya and Jia meet by chance and fall in love. Will they sacrifice their happiness for prior commitments?"
Khosla Ka Ghosla                         ,2006,2h 4m   ,Comedy         ,A retired middle-class man fails to get his land back from a cunning dealer. His son comes to his rescue with a dramatic plan. - ok
Vikramarkudu                             ,2006,2h 15m  ,Action         ,"Sathi Babu promises his girlfriend to give up his life of crime but ends up stealing a trunk full of money. However, something unexpected awaits in the trunk."
