title,released_year,duration,genre,description
Mon Majhi Re                             ,2015,2h 18m  ,Thriller       ,A young animator gets visuals from her past lives. But no one believes that her 'mere imaginations' hold clues to a bigger conspiracy.
Drishyam                                 ,2015,2h 36m  ,Thriller       ,Story of a common family man who takes desperate measures to save his wife and two daughters when they unwittingly get entangled into a crime.
Phir Se Mafiaraaj                        ,2015,1h 59m  ,Action         ,"A young boy witnesses his mother being killed. Years later, he encounters the killer while rescuing a girl from forced prostitution. Will he avenge her death?"
Pisachi                                  ,2015,1h 48m  ,Horror         ,"A loner violinist tries to save an injured girl, but she passes away and starts haunting him instead. Why is she torturing the man who saved her?"
Ek Ultimate Chaalbaaz                    ,2015,2h 4m   ,Action         ,Arjun and his jobless friends are petty thieves. Things take a comical turn when these rookies are hired to pull off the biggest heist. Can they crack it?
Premam                                   ,2015,2h 29m  ,Romance        ,"George, a teenager, loves the idea of being in love. This dream seems to be within his reach in his school days and even in his college days, but it fails to materialise. However, all is not lost yet!"
Prem Ratan Dhan Payo                     ,2015,2h 28m  ,Romance        ,"Crown Prince Yuvraj Vijay Singh and his doppelganger, a carefree stage actor, Prem Dilwale's lives get entangled in a royal battle of romance and deceit."
Roy                                      ,2015,2h 19m  ,Romance        ,"A casanova filmmaker feels lonely after a heartbreak. Meanwhile, a notorious art thief has a change of heart after falling in love. Are there any dots to join?"
S/o Satyamurthy                          ,2015,2h 34m  ,Drama          ,The son of a rich tycoon flies back to India after his father's demise only to fall in love with a beautiful woman. Now he has to impress her father.
Raghuvaran B. Tech                       ,2015,2h 5m   ,Drama          ,"An engineer without a job, Raghuvaran slips into depression after his mother dies. However, life changes when he gets a project and falls for his neighbour."
Bombay Velvet                            ,2015,2h 25m  ,Crime          ,"Johnny Balraj grows desperate to make it big in Bombay and woo Rosie. In his attempts, he unknowingly gets sucked into a void of deception and greed."
Rajathanthiram                           ,2015,2h 5m   ,Drama          ,"When a conman falls for a woman, he plans a big job to help her get rid of her financial troubles. However, their ploy fails and a cat-and-mouse game ensues."
O Kadhal Kanmani                         ,2015,2h 13m  ,Romance        ,"Aditya and Tara fall in love and decide on a live-in relationship. However, their perception of marriage changes when they meet an old couple in love."
Yentavaadu Gaani                         ,2015,2h 29m  ,Thriller       ,"An undercover cop's life turns upside down when his daughter is kidnapped during a vital mission. However, his traumatic past returns for one last showdown!"
Baahubali - The Beginning                ,2015,2h 32m  ,Action         ,"Darkness befalls the Mahishmati kingdom after the assassination of beloved King Amarendra Baahubali. However, a deadly battle must be fought to restore justice."
Baby                                     ,2015,2h 33m  ,Action         ,"Post 26/11 Mumbai attacks, a special intelligence task force will stop at nothing to foil another such assault on the Indian soil."
Talvar                                   ,2015,2h 7m   ,Drama          ,"A double murder case of a teenage girl and the family's domestic help shakes the nation. With many suspects and multiple theories, who is the real culprit?"
Thoongaa Vanam                           ,2015,1h 59m  ,Thriller       ,"Diwakar, an IRS officer in the Narcotics Control Bureau, finds his life falling apart when a powerful drug lord kidnaps his son."
Tippu                                    ,2015,1h 38m  ,Action         ,"A carefree Satya falls in love with Vaishnavi. To impress her, he joins her college. All the while, a dreaded gangster Keshu Bhai also vies for her attention."
10 Ka Dum                                ,2015,2h 14m  ,Action         ,"A local don hires a driver, Vikram, to escort a young woman to Daksha Bhai's house. A game of cat and mouse begins when Vikram realises their true motive."
2 Countries                              ,2015,2h 28m  ,Comedy         ,A con man gets lucky when he marries a wealthy Indian woman settled in Canada. Life is now a bed of roses for him. Or is it?
Bal Ganesh 3                             ,2015,1h 8m   ,Kids           ,"A group of alien kids visits Earth to find out more about Bal Ganesh. They meet three mice, Dhoti, Topi and Suit Boot, who share Bal Ganesh's adventurous tales."
10 Endrathukulla                         ,2015,2h 13m  ,Action         ,"A driving instructor is tasked by a criminal to deliver a woman to Mussoorie from Chennai. Soon, he realises his assignment may be too dangerous."
Subramanyam For Sale                     ,2015,2h 26m  ,Romance        ,"Subramanyam, a money-minded guy, helps Seetha get back on her feet after she gets duped by her boyfriend. Things take a hilarious turn when he meets her family."
Bajrangi Bhaijaan                        ,2015,2h 32m  ,Drama          ,"A simple guy, Pawan Kumar Chaturvedi, who is a Hanuman bhakt takes it upon himself to help a lost; mute girl, reach her home in Pakistan!"
Bhaag Johnny                             ,2015,1h 52m  ,Action         ,"In order to save his job, Johnny is asked to murder a beautiful girl by his boss. When he falls in love with her, a 'genie' helps him make the right choice."
Bhale Bhale Magadivoy                    ,2015,2h 17m  ,Romance        ,"Lucky, an amnesiac scientist, falls in love with Nandana. Trouble begins when he fails to keep up with his amnesia and his aim to prove his worth to her father."
Sata Lota Pan Sagla Khota                ,2015,2h 12m  ,Comedy         ,"When Jay's Dubai-based uncle stops his monthly allowance, Jay and his friends come up with a plan to make some cash. But is their plan foolproof?"
Dolly Ki Doli                            ,2015,1h 33m  ,Comedy         ,"Dolly has a lucrative con career - woo unsuspecting men, trap them into marriage and finally rob them off. All is well until a cop decides to spoil the party."
Miss Tanakpur Haazir Ho                  ,2015,2h 8m   ,Comedy         ,"The young wife of an elderly village head seeks solace in Arjun's arms. The cuckold retaliates by framing Arjun for the rape of Miss Tanakpur, his buffalo!"
Aatma Ka Ghar 2                          ,2015,1h 30m  ,Horror         ,"Mohini and Harsha move to a different city, but the lustful spirit of Captain Raju strikes their world again, how will they face him?"
Kerintha                                 ,2015,2h 14m  ,Romance        ,Three young couples are forced to face the harsh realities of life and decide to part ways. Will they ever reunite?
A Paying Ghost                           ,2015,2h      ,Comedy         ,"Based on V.P. Kale's novel Badali, a kind-hearted Madhav gives shelter to a family of ghosts who in turn help him overcome his hurdles."
Guddu Rangeela                           ,2015,1h 59m  ,Comedy         ,"Two small-town musicians kidnap a young woman in order to make a quick buck, but earn the wrath of a powerful politician in the bargain."
Hero                                     ,2015,2h 3m   ,Romance        ,"A gangster's son kidnaps the daughter of the Chief of Police, as her father has some crucial evidence. While the police chase the two, love blooms between them."
Maari                                    ,2015,2h 11m  ,Action         ,"Maari, a local don, is notorious for troubling people and extorting money. Tables turn when he falls for Sridevi, who gives him a taste of his own medicine."
Hate Story 3                             ,2015,1h 53m  ,Thriller       ,"Climbing up the success ladder, Aditya, a businessman makes many enemies. Now, one of them is back to seek revenge."
Mantra 2                                 ,2015,1h 43m  ,Thriller       ,"Having moved to a new city for a job, Mantra stays with an elderly couple as a paying guest. Things go wrong when she realises something is wrong with them."
Masaan                                   ,2015,1h 37m  ,Drama          ,An intertwined tale of a girl caught making out in a hotel and a young low-caste boy falling in love with an upper-class girl. What's in store for them?
Main Aur Charles                         ,2015,1h 52m  ,Crime          ,"Charles was charming and charismatic but evil personified. Known as the bikini killer, he was the most wanted criminal. Inspired by true events."
Indru Netru Naalai                       ,2015,2h 18m  ,Comedy         ,"A scientist from 2065 sends a time machine back to 2015, programming it to return within 40 seconds. Things take a hilarious turn when it doesn't come back."
Adi Kapyare Kootamani                    ,2015,2h 6m   ,Comedy         ,"Evading the eyes of the warden, Adhishta Lakshmi enters a boys' hostel after bribing one of the students, Bhanuprasad. However, she gets trapped in the hostel."
Akhil                                    ,2015,1h 39m  ,Action         ,"To acquire a magical stone, a Russian gangster wreaks havoc in a village. However, Akhil, arrives as a godsend and battles the odds to protect the villagers."
Yaar Indha Mani                          ,2015,2h 20m  ,Drama          ,A materialistic businessman reunites with his happy-go-lucky childhood friend and embarks upon a journey of self-discovery to the Himalayas.
Akira                                    ,2016,2h 10m  ,Action         ,"Akira Sharma, a college student takes on four corrupt cops to prove herself innocent, when she gets involved in a crime that she has not committed."
Aata - The Game of Fear                  ,2016,1h 45m  ,Horror         ,"Three aspiring software professional girls start working on a horror short film to pursue their dreams. Unknowingly, their reel-life story becomes real."
Kaashmora                                ,2016,2h 36m  ,Action         ,"Absconding with a minister's money, a conman and his family get trapped inside a haunted bungalow. In order to escape ghosts, he must go back the past."
Janta Garage                             ,2016,2h 10m  ,Action         ,"Owner of Janatha Garage, Satyam earns a reputation as the saviour of the neighbourhood. His life changes when he meets Anand, an environmental science student."
Kali                                     ,2016,1h 50m  ,Thriller       ,"Sidharth has anger-management issues. One scary night, his short temper just may land him and his wife in serious trouble."
Inkokkadu                                ,2016,2h 27m  ,Action         ,"A suspended RAW agent lives in despair after losing his wife at the hands of a drug lord. Years later, he sets out to avenge her death."
MS Dhoni: The Untold Story               ,2016,2h 58m  ,Biopic         ,"A tell-all tale about the life and times of Indian cricketer Mahendra Singh Dhoni, mapping his journey from a ticket collector to a celebrated sportsman. How did India get one of its favourite cricketers? Watch the life and struggles of MS Dhoni in his journey to become a respected sportsperson in this biopic. A tell-all tale about the life and times of Indian cricketer Mahendra Singh Dhoni, mapping his journey; from a ticket collector to a celebrated cricketer."
Himmat                                   ,2016,2h 12m  ,Action         ,"An ex-military officer turned vigilante, Gana falls in love with Hansita, who agrees to marry him only if he gives up his violent ways. Will he?"
Housefull 3                              ,2016,2h 8m   ,Comedy         ,"With superstition plaguing his mind, a Gujarati businessman doesn't want his three daughters to get married. Who will win over this overprotective father?"
Khiladi Lakshmana                        ,2016,2h 21m  ,Action         ,"Lakshmana, a happy-go-lucky guy, has a past, whereas Anjali is on a mission to avenge a personal loss. Will destiny bring their paths together?"
L7                                       ,2016,1h 46m  ,Horror         ,Arun and Sandhya begin their happily ever after in a new home. Their happiness is short-lived as Arun discovers that Sandhya is possessed. Is she?
Hyper                                    ,2016,2h 9m   ,Action         ,"A loving son comes forward to help his father, an honest government employee, who is being harassed by a corrupt politician."
ISM                                      ,2016,2h 8m   ,Action         ,"On a mission to expose an underworld kingpin, a journalist finds himself trapped in the dark web of corrupt politicos and underworld goons."
Janatha Garage                           ,2016,2h 30m  ,Action         ,"Satyam, the owner of Janatha Garage, earns a reputation as the saviour of the neighbourhood. His life changes when he meets Anand."
Jaguar                                   ,2016,1h 51m  ,Action         ,"To avenge his father's death, a young medical student, Krishna takes law into his own hands. On the road to justice, he falls in love with his classmate."
Lion Shiva                               ,2016,1h 29m  ,Thriller       ,"Suffering from tunnel vision, Ravi witnesses a murder. On realising that he can't afford to cure his impending blindness, he resorts to illegal solutions."
Mirzya                                   ,2016,2h 4m   ,Romance        ,"The legend of star-crossed lovers Mirzya-Sahiban lives on when Munish meets his childhood love, Suchitra, but discovers she's engaged to the local prince."
Express Khiladi                          ,2016,2h 29m  ,Romance        ,A pantry boy and a young girl fall for each other onboard a train bound for Chennai. They find themselves in danger when a gang of dacoits hijacks the train.
Neerja                                   ,2016,1h 56m  ,Biopic         ,"A biopic on the brave Neerja Bhanot, the head purser had sacrificed her life for the safety of her passengers when terrorists hijacked Pan Am Flight 73."
Oozham - It's Just A Matter Of Time      ,2016,2h      ,Action         ,"Surya, a demolition expert, watches his whole family being murdered on a video call. After coming to India, he learns the plot is more sinister than it appears."
Pink                                     ,2016,2h 10m  ,Drama          ,"When three single city girls meet a politician's kin and his friends, a night out becomes a nightmare, which then causes a clash of societal norms and justice."
Manithan                                 ,2016,2h 22m  ,Drama          ,"A struggling lawyer comes across a hit-and-run case and decides to fight for justice. However, he soon learns that there is more to it than meets the eye."
Half Ticket                              ,2016,1h 49m  ,Drama          ,"Tempted to taste a slice of pizza, two young brothers from a slum pull out all the stops. And this journey makes them learn a thing or two about life."
Chennai 600028                           ,2016,2h 26m  ,Comedy         ,"The Chennai Sharks reunite for Raghu's wedding. However, a cricket match against a local team soon causes a series of unfortunate events in their lives."
D-16                                     ,2016,1h 29m  ,Crime          ,"Retired inspector Deepak loses his leg during an investigation. Years later, he has to relive the dreaded past."
Remo                                     ,2016,2h 6m   ,Comedy         ,An aspiring actor falls in love with an engaged doctor. He disguises himself as a female nurse to get close to her so that she calls off her engagement.
Ranga Patanga                            ,2016,1h 39m  ,Drama          ,"When Jumman's beloved oxen goes missing, he decides to search them no matter what. However, on his quest to find them, he lands up in a media circus."
Rekka                                    ,2016,1h 54m  ,Action         ,"Known for helping girls in getting out of unwanted marriages, Siva has created enemies. Trouble ensues when he is trapped to kidnap a politico's daughter."
Dear Dad                                 ,2016,1h 24m  ,Drama          ,A father-son duo embarks on a road trip where candid confessions and weird encounters not only brings them closer but also strengthens their bond.
Dhruva                                   ,2016,2h 34m  ,Action         ,"Dhruva, an honest IPS officer is on a challenging mission to destroy Siddharth Abhimanyu, the evil genius behind a huge medical mafia."
Dishoom                                  ,2016,1h 56m  ,Action         ,"A no-nonsense cop accompanied by a rookie go on a 36-hour manhunt for a missing Indian cricketer, who has been kidnapped under mysterious circumstances."
Dongri Ka Raja                           ,2016,2h 6m   ,Drama          ,"Raja, the wingman of Dongri's most powerful don, is next to take his legacy forward. All is well until he falls in love and decides to quit the path of crime."
Shorgul                                  ,2016,2h 4m   ,Drama          ,"A Hindu boy is friends with a Muslim girl. However, with vested interests working against them to gain political mileage, their friendship is misconstrued."
Rowdy Sarkar                             ,2016,1h 44m  ,Drama          ,"The dreams of an aspiring cricketer come crashing down when he is engulfed in a false Naxal case and turns to a life of crime, gaining the name of Railway Raju."
Sanam Re                                 ,2016,1h 53m  ,Romance        ,"An unfortunate event separates a much-in-love couple. However, fate gives them a second chance at happiness. Will luck favour them now?"
Sardar Gabbar Singh                      ,2016,2h 38m  ,Action         ,"Two childhood friends, Gabbar Singh and Samba, become police officers and decide to fight crime together. But what happens when they are at crossroads?"
Run                                      ,2016,1h 36m  ,Action         ,"Sanju's life turns upside down when he borrows money from a notorious gangster. On failing to return his money, Sanju has a lot at stake."
Saat Uchakkey                            ,2016,2h 10m  ,Comedy         ,"Seven crooks in old Delhi earn their living by coning people. When they set out for a big heist in a old palace, things take a hilarious turn for the worst."
Tere Bin Laden 2                         ,2016,1h 41m  ,Comedy         ,A US agent hires a budding Bollywood director to shoot fake footage that would prove the death of Osama Bin Laden!
Badmaash                                 ,2016,1h 38m  ,Romance        ,"Vijay and Priya are head over heels in love with each other. When a cruel villain enters their life, Vijay has to use all his wits to win his love back."
Zubaan                                   ,2016,1h 51m  ,Drama          ,"After a bullying incident, Dilsher grows up with a speech impairment. Although he loves music, he is not able to conquer the demons in his head."
Anbudan Appavukku                        ,2016,2h 29m  ,Action         ,"Abhiram decides to seek revenge from Krishnamurthy, the man responsible for his father's misfortune. Will he get Krishnamurthy to pay for his sins?"
31st October                             ,2016,1h 36m  ,Action         ,"In the aftermath of Indira Gandhi's assassination, Devender Singh and his family get trapped in endless danger as the anti-Sikh riots break out in Delhi."
Traffic                                  ,2016,1h 40m  ,Action         ,A traffic constable accepts the challenge of traversing 150 km by road to transport a donor's heart for an immediate transplant. Inspired by a true event.
Ticha Umbartha                           ,2016,1h 57m  ,Drama          ,"Based on a play by Jayant Pawar named Maza Ghar, Vibha strives to make her place in the society after being wrongly rejected by her husband."
24                                       ,2016,2h 37m  ,Thriller       ,"A scientist invents a time machine that his evil twin brother plans to usurp. An unforeseen attack and years later, his son tries to protect it from his uncle."
Veerappan                                ,2016,1h 50m  ,Action         ,"Based on the life of infamous sandalwood dacoit, Veerappan, the film charts the events leading to Operation Cocoon, his ultimate downfall."
The Legend of Michael Mishra             ,2016,1h 58m  ,Comedy         ,"To win back his childhood sweetheart, Bhaiyyaji, a tailor-turned-kidnapper decides to give up his criminal ways. Will he succeed?"
Sahaj Paather Gappo                      ,2016,1h 22m  ,Drama          ,10-year-old Gopal and his kid brother Chottu struggle to make ends meet. But they also fancy attending an upcoming grand feast.
Gurgaon                                  ,2017,1h 41m  ,Thriller       ,"When the daughter of a real estate tycoon is kidnapped, her family desperately tries to track her whereabouts; while unravelling long buried family secrets."
Haraamkhor                               ,2017,1h 28m  ,Drama          ,"A married teacher's illicit affair with his teenage student turns into an odd love triangle, when her classmate gets attracted to her."
Mahayuddha                               ,2017,1h 59m  ,Action         ,"Due to his brothers' meddling, an aggressive man falls in love with a woman who believes him to be a non-violent person. But, how long can he keep up the act?"
Fidaa                                    ,2017,2h 2m   ,Romance        ,"Varun, an NRI medical student, falls in love with Bhanu, a village belle. However, their chalk-and-cheese personalities create obstacles for them."
E                                        ,2017,1h 43m  ,Horror         ,"While making a documentary on Alzheimer's disease, a man realises that there's more to his subject's inexplicable behaviour - something sinister and terrible."
Mass Leader                              ,2017,1h 56m  ,Action         ,Honest army officer Captain Shivraj's happy life takes a drastic turn when his family is killed in a terrorist attack.
Vivegam                                  ,2017,2h 11m  ,Action         ,"When an honest counter-terrorist agent is suspected to have gone rogue, he embarks upon a revenge mission against the traitors, who once were his friends."
Jolly LLB 2                              ,2017,2h 11m  ,Drama          ,"A small-time lawyer tricks an innocent woman to make it big. However, a life-changing incident leaves him fighting an earnest battle for justice."
IMAI                                     ,2017,1h 14m  ,Drama          ,"An accidental meeting brings Jyothi face to face with her long lost love, Karthik, who has become a notorious gangster. Can Jyothi bring him back on track?"
Indu Sarkar                              ,2017,2h 8m   ,Thriller       ,"Set during the Indian Emergency, a simple housewife's life changes when she ventures into an area where residents are protesting against the government."
Lee                                      ,2017,1h 55m  ,Action         ,"Leela and Charlee are madly in love with each other. Apart from their families being at loggerheads, an international don makes an entry to add to the chaos."
Maatr                                    ,2017,1h 42m  ,Thriller       ,A traumatised Vidya seeks revenge after her teenage daughter is gang-raped and murdered. She sets out to punish the perpetrators and get justice for her child.
Maasthi Gudi                             ,2017,1h 56m  ,Action         ,"Maasthi leads an isolated life near a forest. On learning that tigers are illegally being hunted and killed, he sets out to save them and make things right."
Vikram Vedha                             ,2017,2h 10m  ,Thriller       ,"Police officer Vikram finally captures Vedha, a dreaded gangster. When the latter engages Vikram in a mind game, it challenges his notion of good and evil."
A Gentleman                              ,2017,2h 6m   ,Action         ,A tale of mistaken identities where identical-looking Gaurav and Rishi cross paths only to create confusion and chaos in their lives and of those around them.
S3                                       ,2017,2h 24m  ,Action         ,A dutiful rowdy cop is deputed to deal with the murder case of a police commissioner. But there's more than what meets the eye.
Running Shaadi                           ,2017,1h 50m  ,Comedy         ,"Two friends launch a website that helps young couples to elope. Although initially a hit, they soon get embroiled in a chaotic situation."
DJ [Duvvada Jagannadham]                 ,2017,2h 21m  ,Action         ,An undercover officer fights crime in the guise of a priest. Things take a turn when he falls in love with the daughter of a corrupt minister.
Richie                                   ,2017,1h 38m  ,Crime          ,"In a quest to unravel the truth behind a certain Christmas eve, journalist Megha comes across multiple perspectives and evidence, leading her to Richie."
C/o Surya                                ,2017,1h 46m  ,Action         ,Best friends Surya and Mahesh happily run their catering business. But fate has other plans when they are caught in the middle of a crime ring.
DJ                                       ,2017,2h 12m  ,Action         ,"DJ is an undercover officer fighting crime in the guise of a priest. Things take a turn when he falls in love with Pooja, the daughter of a corrupt minister."
Mera Vaada My Promise                    ,2017,1h 50m  ,Comedy         ,"Ram and Sravani are madly in love, but misunderstandings create a rift. Enter Lankapathi who wants to marry Sravani at any cost. Will their love survive?"
Monsoon Shootout                         ,2017,1h 26m  ,Crime          ,A rookie cop's first assignment turns into his life's biggest dilemma - to shoot or not. Does every choice have a price?
Pandigai                                 ,2017,1h 58m  ,Action         ,"Velu's past makes him a top underground fighter. To start a new life with his lover, he plans to rob the gangster controlling the street-fighting racket."
Begum Jaan                               ,2017,1h 39m  ,Action         ,"A brothel stands in the way of the partition line. While the authorities try all means to oust the prostitutes, they stand their ground."
Bayama Irukku                            ,2017,1h 46m  ,Comedy         ,"When a group of friends find out that the wife of one of their friend is possessed, they decide to exorcise her!"
Dharma Durai                             ,2017,1h 56m  ,Drama          ,"Dharmadurai, an alcoholic, meets his college friend Suhasini who gets him back on his feet. But when his dreaded past returns, his old wounds surface."
Detective                                ,2017,2h 26m  ,Thriller       ,Detective Advaita Bhushan's life gets exciting when a dog's murder investigation leads him to a huge set-up of hi-tech assassins committing murders in the city.
Bogan                                    ,2017,2h 14m  ,Action         ,"Vikram, a police officer, is on a mission to hunt Adithya, a criminal mastermind. A vicious game unfolds when Adithya cleverly switches his soul with Vikram's."
Rum                                      ,2017,1h 47m  ,Horror         ,"A thief and his friends experience spooky incidents in an old bungalow, where they are hiding after committing a robbery."
Royal Queen                              ,2017,1h 23m  ,Action         ,"To win back the love of his fans, an actor known for negative roles decides to become 'the bad guy' in real life also. What happens when he goes too far?"
8 Thottakal                              ,2017,2h 7m   ,Thriller       ,"Sathya, an honest cop, accidentally loses his loaded service pistol. When Murthy, a suspended constable with a dark past, finds it he goes on a killing spree."
1971 Beyond Borders                      ,2017,1h 50m  ,Action         ,"On a UN Mission, Colonel Mahadevan befriends a Pakistani commander, who he later discovers has a unique connection with his family. What is it?"
Tubelight                                ,2017,2h 10m  ,Drama          ,"Taking us back to the 1962 Sino-Indian War; this is the story of a disabled man, popularly known as Tubelight, his love for his family and self-belief."
VIP 2 Lalkar                             ,2017,1h 46m  ,Drama          ,"Civil engineer Raghuvaran is offered a job by Vasundhara, an egoistic businesswoman. When he turns down her offer, she vows to make his life miserable."
Baadshaho                                ,2017,2h 9m   ,Drama          ,"An Indian queen seeks her bodyguard's help to seize the gold, which the government had raided from her palace during the Emergency in 1975."
Asuravettai                              ,2017,2h 32m  ,Action         ,A series of mysterious killings in the family forces Raghupati to get his daughter married to Krishna to protect her. But is she safe with Krishna?
Arjun Varma                              ,2017,3h      ,Romance        ,A surgeon with a nasty temper turns to drugs and alcohol when his girlfriend is forced to marry another. But there's more to this love story than meets the eye.
Arjun Reddy                              ,2017,2h 42m  ,Romance        ,A short-tempered yet brilliant young medical surgeon immerses himself in drugs and alcohol when his lady-love is forced to marry someone else.
Vasham - The Book                        ,2017,1h 46m  ,Drama          ,Can one get powerful enough to control someone else's mind and thoughts? Find your answers through the lives of a doctor and an actor.
Anjani Putra                             ,2017,1h 54m  ,Action         ,"A misunderstanding causes Viraj's mother to disown him, and he willingly accepts her decision. Will Viraj ever make his mother perceive the truth?"
Daring Raajakumara                       ,2017,2h 4m   ,Action         ,"A dutiful son, a prince in his fathers' eyes, retains his purity of character despite the many challenges thrown his way."
Velaikkaran                              ,2017,2h 31m  ,Thriller       ,"Hailing from a slum, an enterprising young man wages a war against companies involved in food adulteration. Will he be successful?"
The Powerman Shaktishaali                ,2017,2h 3m   ,Action         ,"An ambitious local thug falls in love with the daughter of a deceased mafia leader. To mend fences, he decides to reform, but will the girl's family approve?"
Theeran                                  ,2017,2h 21m  ,Action         ,"An honest cop named Theeran pays a heavy price for investigating the case of criminals, who shamelessly commit a crime and escape punishment."
Taqdeer                                  ,2017,2h      ,Action         ,Avinash gets separated from his childhood love Priya. Will fate play its part and bring the two estranged lovers together as grown-ups?
Baahubali 2: The Conclusion              ,2017,2h 40m  ,Action         ,Why did Kattappa kill Amarendra Baahubali? Unveil the mystery and many more secrets that lie in the depths of the Mahishmati kingdom. Why did Kattappa kill Amarendra Baahubali? Find out the answer to this monumental question as you watch Amarendra's son in action in the sequel.
Judwaa 2                                 ,2017,2h 18m  ,Comedy         ,"Separated at birth, twins Raja and Prem reunite as adults to take on a smuggling mafia while their similar looks add chaos to the confusion."
Jigarbaaz                                ,2017,1h 53m  ,Thriller       ,A cop and his two subordinates are on a mission to hunt down a psychotic serial killer. What happens when the clues lead them to a haunting secret.
Khatarnak Policewala                     ,2017,2h 5m   ,Action         ,Assistant Commissioner Vetrimaaran investigates a series of murders when a priest is found dead and a woman goes missing under mysterious circumstances.
Guru                                     ,2017,1h 33m  ,Drama          ,"A failed boxer decides to train a young vegetable seller. But, when both the coach and the student have temperament issues, how will they get along?"
Hanuman Da’Damdaar                       ,2017,1h 39m  ,Kids           ,"To prove that he is a brave boy, Maruti, a young boy sets out on a jungle adventure and transforms into India's original superhero, Hanuman."
Maayavan                                 ,2017,1h 57m  ,Action         ,"Kumaran, an officer suffering from PTSD is on a serial killer’s trail. He is just about to nab the culprit when he discovers an abnormal truth."
Mona Darling                             ,2017,1h 43m  ,Thriller       ,"A bunch of amateurs set out to find a serial killer on the college campus, who uses social media as a tool. Can they find him before he claims his next victim?"
Maragatha Nanayam                        ,2017,1h 57m  ,Comedy         ,"A jewel smuggler hires two petty thieves to locate a cursed medallion. Will they be successful in this magical heist, or will they fall prey to the spell?"
Kanupapa                                 ,2017,2h 14m  ,Thriller       ,A blind man becomes the prime suspect in a murder case. But he also has to protect the victim's daughter and prove his innocence. How will he get out of this?
Poysa Usul                               ,2017,2h 5m   ,Action         ,"RAW hires a convict to deal with a high-profile mafia don. When a journalist chasing the don goes missing, clues point at the convict. What's the connection?"
Phillauri                                ,2017,2h 10m  ,Romance        ,"Karan returns to India to marry his girlfriend. Little does he realise that he will have to marry a tree first with a ghost, who now calls him her husband."
Parava                                   ,2017,2h 18m  ,Drama          ,"Best friends Haseeb and Irshad share a common interest of rearing pigeons for competitions. However, a tragedy has them recalling how many lives got ruined."
Mumbai                                   ,2017,2h 19m  ,Action         ,"Krishna works in a bar to make ends meet for his orphanage and his lady love. Circumstances drive him to Mumbai, but will he find what he was looking for?"
Dora                                     ,2017,2h 3m   ,Thriller       ,"A woman spends all her savings to buy a vintage car, only to discover that it is haunted by a revenge-hungry ghost."
Ezra                                     ,2017,2h 16m  ,Horror         ,"Priya has recently moved to Kochi along with her husband and brings along an antique Jewish trunk, unaware that it contains a dybbuk, a revenge-hungry spirit."
Middle Class Ambala                      ,2017,2h 12m  ,Action         ,"Young, middle-class boy Nani has to protect his sister-in-law, a transport official from a gangster, who runs an illegal transport business."
Khaidi No. 150                           ,2017,2h 17m  ,Action         ,"Seenu escapes from prison and sends his lookalike Shankar in his place. But when he realises that Shankar was helping the farmers, he decides to fight for them. Kaththi Seenu, a convict on the run, meets his lookalike, Shankar, and sends him to prison. But things change when he gets a sneak peek into Shankar's life."
Kaabil                                   ,2017,2h 14m  ,Thriller       ,Rohan and Supriya are visually impaired. Their dream to live happily ever after goes awfully wrong when a local goon enters their life.
RX100                                    ,2018,1h 58m  ,Action         ,"Shiva falls in love with Indu, the daughter of a local politician. When circumstances separate the lovers, Shiva discovers Indu's ulterior motive."
Nimir                                    ,2018,2h 3m   ,Comedy         ,"When publicly embarrassed, photographer Selvam vows to not wear slippers until he has avenged the humiliation, thereby triggering a chain of hilarious events."
Piya Re                                  ,2018,2h 13m  ,Romance        ,"Rabi falls in love with Riya, who lives in a slum. Initially reluctant, soon she unites with him only to mysteriously disappear one fine day."
Mera Faisla                              ,2018,1h 46m  ,Comedy         ,Highly educated yet laid-back Sanju meets Swathi and falls in love with her. A twist in the tale comes when he discovers her father's mafia identity.
Dumdaar Khiladi                          ,2018,2h 13m  ,Romance        ,"It's hate at first sight for Sanju and Anu. But, as time passes, they develop a strong friendship, which is tested when they choose different life partners."
Ek Zabardast Fight Plan                  ,2018,1h 45m  ,Action         ,"Sakthi and Asha use their intelligence to create new electronic devices. When HRD Minister Devaraj dupes them, Sakthi and Asha concoct a plan to expose him."
Girlfriend                               ,2018,2h 3m   ,Romance        ,"Good-for-nothing Uttam falls in love with scholar Suchitra. However, to win her, he must prove his worth to Suchitra's father."
Ragasiyam                                ,2018,1h 51m  ,Thriller       ,Six different people struggle with problems of their own. The only thing they have in common is a mass murderer who decides to end their lives.
Nishyabda 2                              ,2018,1h 42m  ,Thriller       ,"Three robbers try to dupe a visually impaired veteran, unaware of the horrors that await them."
Koode                                    ,2018,2h 26m  ,Drama          ,"After years of being away in Dubai, Joshua returns for his sister's funeral. But it gets weird when he starts seeing his beloved sister's spirit."
Helicopter Eela                          ,2018,2h 2m   ,Drama          ,"An aspiring singer and a single mother, Eela gives up her dream for her son. Years later, this overprotective mom rejoins college with her son."
Maari 2                                  ,2018,2h 20m  ,Action         ,"Maari, a local don, in his new naughty-turned-nice avtar, manages to get into the bad books of Beeja, a Murakami fan, who will stop at nothing to destroy him."
Vishwaroopam 2                           ,2018,2h 15m  ,Action         ,"It's a battle of brain, brawn and emotions for RAW agent Wisam Ahmad Kashmiri who struggles between eliminating his nemesis and maintaining a personal life."
