title,released_year,duration,genre,description,Rated,Released,Runtime,Director,Writer,Actors,Plot,Language,Country,Awards,Ratings,imdbRating,imdbVotes,imdbID,Type,BoxOffice,totalSeasons,imageid,format
Well Done Abba,2010,2h 14m,Comedy,"Tired of bureaucratic delays, chauffeur Armaan Ali takes matters into his own hands to save his draught-stricken village. But can he fight the big guns?",,,,,,,,,,,,,,,,,,89,
Khichdi The Movie,2010,1h 51m,Comedy,Himanshu and Parminder are all set to tie the knot but things go hilariously wrong when he tries adding adventure to his love story.,Not Rated,01 Oct 2010,120 min,Aatish Kapadia,Aatish Kapadia,"Anang Desai, Supriya Pathak, Rajeev Mehta","Narrated through the two wise kids of the hilariously madcap Parekh family, namely Jacky and Chakki. Khichdi - The movie is about a hare brained dream of a snail brained bunch of lovable losers. Hansa's brother Himanshu has born a ridiculous ambition that is to have a memorable legendary love story. It's all together another matter that he is not in love with anyone and neither is he capable of getting any sensible girl smitten to him. But as Babuji over wisely says that for every idiotic Praful there is an even more idiotic Hansa made, his prophecy turns out to be true. Parminder, Himanshu's neighbor falls in love with Himanshu for no logical reason and the 2 get engaged to get married. That's when this ridiculous story line takes a ridiculous turn. Himanshu realizes on the eve of the wedding that the impending ceremony would mean impending doom to his desire to have a legendary love story. For nothing interesting ever happened in his love story to make it memorable. It was a simple non happening take with a boring happy ending. No resistance, no conflict, no separation, no sad song, no climax nothing. And so our gifted dumb family sets out to stall the wedding. And then begins their journey to create all those missing stages in Himanshu's love story in order to make it legendary. How, in this hilariously hare brained process, they make a mess of everything and how at the incredibly ridiculous climax Himanshu eventually manages to win his love back, makes up the story of Khichdi The Movie.",Hindi,India,3 nominations total,"[{""Source"": ""Internet Movie Database"", ""Value"": ""7.3/10""}]",7.3,"3,149",tt1738293,movie,,,90,jpg
Khichdi The Movie,2010,1h 51m,Family,Himanshu and Parminder are all set to tie the knot but things go hilariously wrong when he tries adding adventure to his love story.,Not Rated,01 Oct 2010,120 min,Aatish Kapadia,Aatish Kapadia,"Anang Desai, Supriya Pathak, Rajeev Mehta","Narrated through the two wise kids of the hilariously madcap Parekh family, namely Jacky and Chakki. Khichdi - The movie is about a hare brained dream of a snail brained bunch of lovable losers. Hansa's brother Himanshu has born a ridiculous ambition that is to have a memorable legendary love story. It's all together another matter that he is not in love with anyone and neither is he capable of getting any sensible girl smitten to him. But as Babuji over wisely says that for every idiotic Praful there is an even more idiotic Hansa made, his prophecy turns out to be true. Parminder, Himanshu's neighbor falls in love with Himanshu for no logical reason and the 2 get engaged to get married. That's when this ridiculous story line takes a ridiculous turn. Himanshu realizes on the eve of the wedding that the impending ceremony would mean impending doom to his desire to have a legendary love story. For nothing interesting ever happened in his love story to make it memorable. It was a simple non happening take with a boring happy ending. No resistance, no conflict, no separation, no sad song, no climax nothing. And so our gifted dumb family sets out to stall the wedding. And then begins their journey to create all those missing stages in Himanshu's love story in order to make it legendary. How, in this hilariously hare brained process, they make a mess of everything and how at the incredibly ridiculous climax Himanshu eventually manages to win his love back, makes up the story of Khichdi The Movie.",Hindi,India,3 nominations total,"[{""Source"": ""Internet Movie Database"", ""Value"": ""7.3/10""}]",7.3,"3,149",tt1738293,movie,,,90,jpg
Maryada Ramanna,2010,2h 4m,Comedy,"Ramu decides to sell off an inherited ancestral property. However, he unknowingly stays in the house of his father's killer. Will he find out the truth?",Not Rated,23 Jul 2010,125 min,S.S. Rajamouli,"S.S. Kanchi, S.S. Rajamouli","Sunil, Saloni Aswani, Nagineedu","Goodhearted but unlucky bicycle-deliveryman Ramu learns that he owns five acres in his parents' hometown in Rayalaseema, and sets out to sell the land. He befriends his fellow train passenger, the beautiful and charming artist Aparna, called Appu for short. Appu's family welcome him, before realizing he is a descendant of their sworn enemy from a violent long-standing family feud. The family's own strict rules of hospitality require them to treat Ramu well while he remains under their roof, but they plan to kill him the moment he steps over the threshold...",Telugu,India,5 wins total,"[{""Source"": ""Internet Movie Database"", ""Value"": ""7.5/10""}]",7.5,"3,644",tt1582546,movie,,,91,jpg
Maryada Ramanna,2010,2h 4m,Action,"Ramu decides to sell off an inherited ancestral property. However, he unknowingly stays in the house of his father's killer. Will he find out the truth?",Not Rated,23 Jul 2010,125 min,S.S. Rajamouli,"S.S. Kanchi, S.S. Rajamouli","Sunil, Saloni Aswani, Nagineedu","Goodhearted but unlucky bicycle-deliveryman Ramu learns that he owns five acres in his parents' hometown in Rayalaseema, and sets out to sell the land. He befriends his fellow train passenger, the beautiful and charming artist Aparna, called Appu for short. Appu's family welcome him, before realizing he is a descendant of their sworn enemy from a violent long-standing family feud. The family's own strict rules of hospitality require them to treat Ramu well while he remains under their roof, but they plan to kill him the moment he steps over the threshold...",Telugu,India,5 wins total,"[{""Source"": ""Internet Movie Database"", ""Value"": ""7.5/10""}]",7.5,"3,644",tt1582546,movie,,,91,jpg
Maryada Ramanna,2010,2h 4m,Drama,"Ramu decides to sell off an inherited ancestral property. However, he unknowingly stays in the house of his father's killer. Will he find out the truth?",Not Rated,23 Jul 2010,125 min,S.S. Rajamouli,"S.S. Kanchi, S.S. Rajamouli","Sunil, Saloni Aswani, Nagineedu","Goodhearted but unlucky bicycle-deliveryman Ramu learns that he owns five acres in his parents' hometown in Rayalaseema, and sets out to sell the land. He befriends his fellow train passenger, the beautiful and charming artist Aparna, called Appu for short. Appu's family welcome him, before realizing he is a descendant of their sworn enemy from a violent long-standing family feud. The family's own strict rules of hospitality require them to treat Ramu well while he remains under their roof, but they plan to kill him the moment he steps over the threshold...",Telugu,India,5 wins total,"[{""Source"": ""Internet Movie Database"", ""Value"": ""7.5/10""}]",7.5,"3,644",tt1582546,movie,,,91,jpg
Aisha,2010,2h 6m,Romance,"Aisha thinks she is a perfect matchmaker, despite her neighbour Arjun's warning. As she continues to meddle in others' lives, she falls short of her own.",,06 Aug 2010,126 min,Rajshree Ojha,"Jane Austen, Devika Bhagat, Ritu Bhatia","Sonam Kapoor, Abhay Deol, Karamjeet Madonna","After successfully arranging the marriage of her Delhi-based spinster aunt Chitra to Colonel Raghuvendra Singh, self-styled 'Event Manager' Aisha Kapoor decides to turn matchmaker. She is convinced that she can find the right match for anyone, including Bahadurgarh-based naive innocent Shefali Thakur. Chaos and bitterness result after Aisha decides to convert Shefali into a fashionable modern woman and concludes that Randhir Gambhir is the ideal groom for her.",Hindi,India,1 win & 10 nominations,"[{""Source"": ""Internet Movie Database"", ""Value"": ""5.1/10""}]",5.1,"4,473",tt1509732,movie,,,92,jpg
Aisha,2010,2h 6m,Comedy,"Aisha thinks she is a perfect matchmaker, despite her neighbour Arjun's warning. As she continues to meddle in others' lives, she falls short of her own.",,06 Aug 2010,126 min,Rajshree Ojha,"Jane Austen, Devika Bhagat, Ritu Bhatia","Sonam Kapoor, Abhay Deol, Karamjeet Madonna","After successfully arranging the marriage of her Delhi-based spinster aunt Chitra to Colonel Raghuvendra Singh, self-styled 'Event Manager' Aisha Kapoor decides to turn matchmaker. She is convinced that she can find the right match for anyone, including Bahadurgarh-based naive innocent Shefali Thakur. Chaos and bitterness result after Aisha decides to convert Shefali into a fashionable modern woman and concludes that Randhir Gambhir is the ideal groom for her.",Hindi,India,1 win & 10 nominations,"[{""Source"": ""Internet Movie Database"", ""Value"": ""5.1/10""}]",5.1,"4,473",tt1509732,movie,,,92,jpg
Aisha,2010,2h 6m,Drama,"Aisha thinks she is a perfect matchmaker, despite her neighbour Arjun's warning. As she continues to meddle in others' lives, she falls short of her own.",,06 Aug 2010,126 min,Rajshree Ojha,"Jane Austen, Devika Bhagat, Ritu Bhatia","Sonam Kapoor, Abhay Deol, Karamjeet Madonna","After successfully arranging the marriage of her Delhi-based spinster aunt Chitra to Colonel Raghuvendra Singh, self-styled 'Event Manager' Aisha Kapoor decides to turn matchmaker. She is convinced that she can find the right match for anyone, including Bahadurgarh-based naive innocent Shefali Thakur. Chaos and bitterness result after Aisha decides to convert Shefali into a fashionable modern woman and concludes that Randhir Gambhir is the ideal groom for her.",Hindi,India,1 win & 10 nominations,"[{""Source"": ""Internet Movie Database"", ""Value"": ""5.1/10""}]",5.1,"4,473",tt1509732,movie,,,92,jpg
Rakht Charitra,2010,1h 47m,Action,"Pratap Ravi, a killer bandit, embarks on a political journey to avenge the deaths in his family. Will he succeed or get caught in the whirlpool of chaos?",,,,,,,,,,,,,,,,,,93,
Jigar Kaleja,2010,2h 29m,Action,"Things spiral out of control when a mysterious disease ravages a village. Unexpectedly, Raju, a cab driver, becomes a saviour with his supernatural potential.",,,,,,,,,,,,,,,,,,94,
Khel Mandala,2011,2h 3m,Drama,"Puppeteer Dasu finds an abandoned girl who is handicapped. He takes on the challenge of bringing her up, but what happens when her parents return for her?",Not Rated,17 Oct 2011,102 min,Viju Mane,,"Mangesh Desai, Ananya Devre, Urmilla Kanetkar Kothare","With the delicate father-daughter relationship at the centre, the tale gyrates around the life of the son of a poor puppeteer - Dasu. His zest for the city of Mumbai brings him to the city with his dreams to grow rich. However all his dreams get shattered with the harsh realities of life. Soon as he begins to settle in, he finds an abandoned girl child. He takes up the responsibility to nurture the baby but soon realises that she is blind, deaf and mute!",Marathi,India,,"[{""Source"": ""Internet Movie Database"", ""Value"": ""8.4/10""}]",8.4,51,tt1863292,movie,,,95,
Kanchana,2011,2h 14m,Horror,"A man sets out to overcome his fear of ghosts, only to get possessed by one. Hungry for revenge, the ghost makes him do her bidding.",Not Rated,22 Jul 2011,171 min,Raghava Lawrence,Raghava Lawrence,"Raghava Lawrence, R. Sarathkumar, Kovai Sarala",Raghava has many irrational fears. He is so afraid that he dares not step outside his house after dark. His mother is his pillar of strength. As it happens he comes across strange things in life. He slowly begins behaving more effeminately and is possessed by the ghost of a woman. All hell breaks loose.,Tamil,India,4 wins,"[{""Source"": ""Internet Movie Database"", ""Value"": ""6.6/10""}]",6.6,"2,245",tt2034026,movie,,,96,jpg
Kanchana,2011,2h 14m,Action,"A man sets out to overcome his fear of ghosts, only to get possessed by one. Hungry for revenge, the ghost makes him do her bidding.",Not Rated,22 Jul 2011,171 min,Raghava Lawrence,Raghava Lawrence,"Raghava Lawrence, R. Sarathkumar, Kovai Sarala",Raghava has many irrational fears. He is so afraid that he dares not step outside his house after dark. His mother is his pillar of strength. As it happens he comes across strange things in life. He slowly begins behaving more effeminately and is possessed by the ghost of a woman. All hell breaks loose.,Tamil,India,4 wins,"[{""Source"": ""Internet Movie Database"", ""Value"": ""6.6/10""}]",6.6,"2,245",tt2034026,movie,,,96,jpg
Kanchana,2011,2h 14m,Comedy,"A man sets out to overcome his fear of ghosts, only to get possessed by one. Hungry for revenge, the ghost makes him do her bidding.",Not Rated,22 Jul 2011,171 min,Raghava Lawrence,Raghava Lawrence,"Raghava Lawrence, R. Sarathkumar, Kovai Sarala",Raghava has many irrational fears. He is so afraid that he dares not step outside his house after dark. His mother is his pillar of strength. As it happens he comes across strange things in life. He slowly begins behaving more effeminately and is possessed by the ghost of a woman. All hell breaks loose.,Tamil,India,4 wins,"[{""Source"": ""Internet Movie Database"", ""Value"": ""6.6/10""}]",6.6,"2,245",tt2034026,movie,,,96,jpg
Avan Ivan,2011,2h 11m,Comedy,"Walter and Samy constantly compete at pickpocketing, but Walter wants to become an actor. When they meet the love of their lives, will their mentor approve?",Not Rated,17 Jun 2011,127 min,Bala,"Bala, Meghana Karthik","Vishal, Arya, G.M. Kumar","Kumbudraen Saamy (Arya) is a skilled thief who cons people for a living. His cross-eyed half-brother Walter Vanangamudi (Vishal Krishna)is not so good at at the same trade. They are born to the same father but to different mothers. The two men quarrel frequently and Saamy often pokes fun at Walter's shortcomings. Highness (GM Kumar) as he is dearly called by the brothers is a local zamindar who enjoy's the company of both Saamy and Walter and takes an affinity toward them and treats them as his own family. Once, a masked Walter breaks into Police Constable Baby's (Janani Iyer) house, but she recognizes the man and thwarts his attempt to rob them. Later they develop a fondness for each other, mostly born out of Walter's childish nature and submission to Baby's persuasiveness. Saamy too develops a relationship with Thenmozhi (Madhu Shalini) who cons him by giving him her fake gold bangles. Actor Surya comes to the village for a fund-raising meeting and Highness asks the actor to watch Walter's performance before he leaves. At first, Walter's antics draw laughter and ridicule from the crowd, but soon they begin to appreciate the honesty of his emotions and Surya shows his appreciation by hugging Walter and wishing him a great future. This incident changes Saamy's opinion of Walter and in an inebriated state he confesses to Highness that he actually likes Walter and that any ill-feelings he has had are totally misplaced. The brothers unite and this makes both Highness and the two mothers happy. Meanwhile, Arya brings Thenmozhi home and tells Higness that he wants to marry her. But Walter interjects and destroys the moment by revealing that Thenmozhi is the daughter of a long-standing enemy of Highness. Saamy is enraged and runs off at the mouth, accusing Highness of using his old grudge to gain control over him and his love. Heart-broken, Highness takes to the bottle. Saamy leaves saying that he cannot let Thenmozhi go just like that. Later, Highness reconciles and permits Saamy to marry Thenmozhi. Now, R.K, a local goon who smuggles cattle to Kerala is busted by Highness and is arrested amongst much media fare. Soon, he returns to rent his wrath upon Highness - kidnapping him from his home at night, RK strips Highness naked and flogs him to unconsciousness. In the morning, Highness is found dead, hanging from a tree by the lake. The brothers are devastated, Saamy rushes to engage R.K in a fist cuff but is brutally beaten down. But Walter returns with a vengeance and bashes R.K to pulp, his emotion running high he beats R.K so badly that the smuggler begs Walter to kill him. Walter has other plans - he ties R.K to Highness's funeral pyre and allows him to burn while still alive. The credits roll as the two brothers, both heavily drunk, walk toward the camera dancing and yelling.",Tamil,India,3 nominations,"[{""Source"": ""Internet Movie Database"", ""Value"": ""6.3/10""}]",6.3,"1,263",tt1606376,movie,,,97,jpg
Avan Ivan,2011,2h 11m,Action,"Walter and Samy constantly compete at pickpocketing, but Walter wants to become an actor. When they meet the love of their lives, will their mentor approve?",Not Rated,17 Jun 2011,127 min,Bala,"Bala, Meghana Karthik","Vishal, Arya, G.M. Kumar","Kumbudraen Saamy (Arya) is a skilled thief who cons people for a living. His cross-eyed half-brother Walter Vanangamudi (Vishal Krishna)is not so good at at the same trade. They are born to the same father but to different mothers. The two men quarrel frequently and Saamy often pokes fun at Walter's shortcomings. Highness (GM Kumar) as he is dearly called by the brothers is a local zamindar who enjoy's the company of both Saamy and Walter and takes an affinity toward them and treats them as his own family. Once, a masked Walter breaks into Police Constable Baby's (Janani Iyer) house, but she recognizes the man and thwarts his attempt to rob them. Later they develop a fondness for each other, mostly born out of Walter's childish nature and submission to Baby's persuasiveness. Saamy too develops a relationship with Thenmozhi (Madhu Shalini) who cons him by giving him her fake gold bangles. Actor Surya comes to the village for a fund-raising meeting and Highness asks the actor to watch Walter's performance before he leaves. At first, Walter's antics draw laughter and ridicule from the crowd, but soon they begin to appreciate the honesty of his emotions and Surya shows his appreciation by hugging Walter and wishing him a great future. This incident changes Saamy's opinion of Walter and in an inebriated state he confesses to Highness that he actually likes Walter and that any ill-feelings he has had are totally misplaced. The brothers unite and this makes both Highness and the two mothers happy. Meanwhile, Arya brings Thenmozhi home and tells Higness that he wants to marry her. But Walter interjects and destroys the moment by revealing that Thenmozhi is the daughter of a long-standing enemy of Highness. Saamy is enraged and runs off at the mouth, accusing Highness of using his old grudge to gain control over him and his love. Heart-broken, Highness takes to the bottle. Saamy leaves saying that he cannot let Thenmozhi go just like that. Later, Highness reconciles and permits Saamy to marry Thenmozhi. Now, R.K, a local goon who smuggles cattle to Kerala is busted by Highness and is arrested amongst much media fare. Soon, he returns to rent his wrath upon Highness - kidnapping him from his home at night, RK strips Highness naked and flogs him to unconsciousness. In the morning, Highness is found dead, hanging from a tree by the lake. The brothers are devastated, Saamy rushes to engage R.K in a fist cuff but is brutally beaten down. But Walter returns with a vengeance and bashes R.K to pulp, his emotion running high he beats R.K so badly that the smuggler begs Walter to kill him. Walter has other plans - he ties R.K to Highness's funeral pyre and allows him to burn while still alive. The credits roll as the two brothers, both heavily drunk, walk toward the camera dancing and yelling.",Tamil,India,3 nominations,"[{""Source"": ""Internet Movie Database"", ""Value"": ""6.3/10""}]",6.3,"1,263",tt1606376,movie,,,97,jpg
Avan Ivan,2011,2h 11m,Drama,"Walter and Samy constantly compete at pickpocketing, but Walter wants to become an actor. When they meet the love of their lives, will their mentor approve?",Not Rated,17 Jun 2011,127 min,Bala,"Bala, Meghana Karthik","Vishal, Arya, G.M. Kumar","Kumbudraen Saamy (Arya) is a skilled thief who cons people for a living. His cross-eyed half-brother Walter Vanangamudi (Vishal Krishna)is not so good at at the same trade. They are born to the same father but to different mothers. The two men quarrel frequently and Saamy often pokes fun at Walter's shortcomings. Highness (GM Kumar) as he is dearly called by the brothers is a local zamindar who enjoy's the company of both Saamy and Walter and takes an affinity toward them and treats them as his own family. Once, a masked Walter breaks into Police Constable Baby's (Janani Iyer) house, but she recognizes the man and thwarts his attempt to rob them. Later they develop a fondness for each other, mostly born out of Walter's childish nature and submission to Baby's persuasiveness. Saamy too develops a relationship with Thenmozhi (Madhu Shalini) who cons him by giving him her fake gold bangles. Actor Surya comes to the village for a fund-raising meeting and Highness asks the actor to watch Walter's performance before he leaves. At first, Walter's antics draw laughter and ridicule from the crowd, but soon they begin to appreciate the honesty of his emotions and Surya shows his appreciation by hugging Walter and wishing him a great future. This incident changes Saamy's opinion of Walter and in an inebriated state he confesses to Highness that he actually likes Walter and that any ill-feelings he has had are totally misplaced. The brothers unite and this makes both Highness and the two mothers happy. Meanwhile, Arya brings Thenmozhi home and tells Higness that he wants to marry her. But Walter interjects and destroys the moment by revealing that Thenmozhi is the daughter of a long-standing enemy of Highness. Saamy is enraged and runs off at the mouth, accusing Highness of using his old grudge to gain control over him and his love. Heart-broken, Highness takes to the bottle. Saamy leaves saying that he cannot let Thenmozhi go just like that. Later, Highness reconciles and permits Saamy to marry Thenmozhi. Now, R.K, a local goon who smuggles cattle to Kerala is busted by Highness and is arrested amongst much media fare. Soon, he returns to rent his wrath upon Highness - kidnapping him from his home at night, RK strips Highness naked and flogs him to unconsciousness. In the morning, Highness is found dead, hanging from a tree by the lake. The brothers are devastated, Saamy rushes to engage R.K in a fist cuff but is brutally beaten down. But Walter returns with a vengeance and bashes R.K to pulp, his emotion running high he beats R.K so badly that the smuggler begs Walter to kill him. Walter has other plans - he ties R.K to Highness's funeral pyre and allows him to burn while still alive. The credits roll as the two brothers, both heavily drunk, walk toward the camera dancing and yelling.",Tamil,India,3 nominations,"[{""Source"": ""Internet Movie Database"", ""Value"": ""6.3/10""}]",6.3,"1,263",tt1606376,movie,,,97,jpg
Teen They Bhai,2011,2h 4m,Comedy,Three squabbling brothers come together after years of separation to fulfil their grandfather's last wish. Will they bury the hatchet?,,,,,,,,,,,,,,,,,,98,
Dookudu,2011,2h 47m,Action,"Tough cop Ajay, the son of an MLA, sets out to hunt Nayak and other criminals. But he has to do so without letting his father know about the dangers involved.",Not Rated,23 Sep 2011,170 min,Sreenu Vaitla,"Gopimohan, Sreenu Vaitla, Kona Venkat","Mahesh Babu, Samantha Ruth Prabhu, Sonu Sood","Shankar Narayana is an honest politician who meets with a near-fatal accident. Some years later, Shankar's son Ajay has grown up to become a police officer. Ajay's mission to bring down the trade of drugs and weapons, takes him to Istanbul. It's while there that he first meets fashion student Prashanthi. Ajay is smitten with her. Back in India, Shankar finally awakes from a long coma. Ajay creates an elaborate home-life charade to shield his still-fragile father from any stress or shock. While out on the streets, it is time to hunt down Don Nayak and his criminal associates who tried to kill his father all those years ago.",Telugu,India,39 wins & 5 nominations,"[{""Source"": ""Internet Movie Database"", ""Value"": ""7.4/10""}]",7.4,"14,312",tt1756476,movie,,,99,jpg
Dookudu,2011,2h 47m,Comedy,"Tough cop Ajay, the son of an MLA, sets out to hunt Nayak and other criminals. But he has to do so without letting his father know about the dangers involved.",Not Rated,23 Sep 2011,170 min,Sreenu Vaitla,"Gopimohan, Sreenu Vaitla, Kona Venkat","Mahesh Babu, Samantha Ruth Prabhu, Sonu Sood","Shankar Narayana is an honest politician who meets with a near-fatal accident. Some years later, Shankar's son Ajay has grown up to become a police officer. Ajay's mission to bring down the trade of drugs and weapons, takes him to Istanbul. It's while there that he first meets fashion student Prashanthi. Ajay is smitten with her. Back in India, Shankar finally awakes from a long coma. Ajay creates an elaborate home-life charade to shield his still-fragile father from any stress or shock. While out on the streets, it is time to hunt down Don Nayak and his criminal associates who tried to kill his father all those years ago.",Telugu,India,39 wins & 5 nominations,"[{""Source"": ""Internet Movie Database"", ""Value"": ""7.4/10""}]",7.4,"14,312",tt1756476,movie,,,99,jpg
Dookudu,2011,2h 47m,Drama,"Tough cop Ajay, the son of an MLA, sets out to hunt Nayak and other criminals. But he has to do so without letting his father know about the dangers involved.",Not Rated,23 Sep 2011,170 min,Sreenu Vaitla,"Gopimohan, Sreenu Vaitla, Kona Venkat","Mahesh Babu, Samantha Ruth Prabhu, Sonu Sood","Shankar Narayana is an honest politician who meets with a near-fatal accident. Some years later, Shankar's son Ajay has grown up to become a police officer. Ajay's mission to bring down the trade of drugs and weapons, takes him to Istanbul. It's while there that he first meets fashion student Prashanthi. Ajay is smitten with her. Back in India, Shankar finally awakes from a long coma. Ajay creates an elaborate home-life charade to shield his still-fragile father from any stress or shock. While out on the streets, it is time to hunt down Don Nayak and his criminal associates who tried to kill his father all those years ago.",Telugu,India,39 wins & 5 nominations,"[{""Source"": ""Internet Movie Database"", ""Value"": ""7.4/10""}]",7.4,"14,312",tt1756476,movie,,,99,jpg
Sharyat,2011,2h 2m,Action,"Two royal families turn rivals over the right to perform the revered Shiv Puja. As peace becomes a thing of the past, a competition may offer a resolution.",,16 Dec 2011,127 min,Viju Mane,,"Bhargavi Chirmuley, Kishore Chougule, Ganesh Jethe","A traditional bullock-cart race takes place annually in a rural village of Maharashtra. The family that wins the race gets a chance to perform the very important Shiv Puja for that year. For years, Dhananjay Rao (Sachin Pilgaonkar) has been winning the race for Gayatri's (Neena Kulkarni) family. One time, Pratapsingh (Vidyadhar Joshi) employs crooked methods to make Dhananjay loses the race. His bullock cart meets with an accident, killing a few people and injuring the bullocks. Devastated by the incident, Dhananjay migrates to the city. He returns after five years, but refuses to take part in the annual bullock-cart race. However, circumstances force him to take part in the last bullock-cart race. Dhananjay will now have to face the mighty Pratapsingh.",Marathi,India,,[],,18,tt4326058,movie,,,100,
Siruthai,2011,2h 34m,Action,A small-time thief's life changes when a little girl claims to be his daughter. He then decides to punish the criminals who are responsible for her plight.,Not Rated,14 Jan 2011,160 min,Siva,"Vijayendra Prasad, Siva, Rishabh Purohit","Karthi, Tamannaah Bhatia, Santhanam","Rocket Raja (Karthi) is a small time thief who is talented enough to steal anything he comes across. In the company of Kaatupoochi (Santhanam), he enjoys life to its extent and even falls for the charm of a beautiful girl (Tamannaah). However, his life changes forever when a small girl comes to Raja calling him dad. As Raja finds out the girl's past, a flashback reveals that she is the daughter of an honest cop Rathanavel Pandian (Karthi), who is a nightmare to baddies. However, Pandian is now is on the run because his enemies are behind him and his daughter. Eventually, the villains find the whereabouts of Pandian and finishes him off. So steps in Rocket Raja (with the help of Pandian's colleagues who are behind the girl reaching him) into his shoes and finishes the unfinished work of Pandian. He also takes care of his daughter. A roller-coaster ride of fun, joy, camaraderie and romance is what 'Siruthai' is eventually.",Tamil,India,1 win & 1 nomination,"[{""Source"": ""Internet Movie Database"", ""Value"": ""6.2/10""}]",6.2,"1,890",tt1821607,movie,,,101,jpg
Siruthai,2011,2h 34m,Comedy,A small-time thief's life changes when a little girl claims to be his daughter. He then decides to punish the criminals who are responsible for her plight.,Not Rated,14 Jan 2011,160 min,Siva,"Vijayendra Prasad, Siva, Rishabh Purohit","Karthi, Tamannaah Bhatia, Santhanam","Rocket Raja (Karthi) is a small time thief who is talented enough to steal anything he comes across. In the company of Kaatupoochi (Santhanam), he enjoys life to its extent and even falls for the charm of a beautiful girl (Tamannaah). However, his life changes forever when a small girl comes to Raja calling him dad. As Raja finds out the girl's past, a flashback reveals that she is the daughter of an honest cop Rathanavel Pandian (Karthi), who is a nightmare to baddies. However, Pandian is now is on the run because his enemies are behind him and his daughter. Eventually, the villains find the whereabouts of Pandian and finishes him off. So steps in Rocket Raja (with the help of Pandian's colleagues who are behind the girl reaching him) into his shoes and finishes the unfinished work of Pandian. He also takes care of his daughter. A roller-coaster ride of fun, joy, camaraderie and romance is what 'Siruthai' is eventually.",Tamil,India,1 win & 1 nomination,"[{""Source"": ""Internet Movie Database"", ""Value"": ""6.2/10""}]",6.2,"1,890",tt1821607,movie,,,101,jpg
Siruthai,2011,2h 34m,Crime,A small-time thief's life changes when a little girl claims to be his daughter. He then decides to punish the criminals who are responsible for her plight.,Not Rated,14 Jan 2011,160 min,Siva,"Vijayendra Prasad, Siva, Rishabh Purohit","Karthi, Tamannaah Bhatia, Santhanam","Rocket Raja (Karthi) is a small time thief who is talented enough to steal anything he comes across. In the company of Kaatupoochi (Santhanam), he enjoys life to its extent and even falls for the charm of a beautiful girl (Tamannaah). However, his life changes forever when a small girl comes to Raja calling him dad. As Raja finds out the girl's past, a flashback reveals that she is the daughter of an honest cop Rathanavel Pandian (Karthi), who is a nightmare to baddies. However, Pandian is now is on the run because his enemies are behind him and his daughter. Eventually, the villains find the whereabouts of Pandian and finishes him off. So steps in Rocket Raja (with the help of Pandian's colleagues who are behind the girl reaching him) into his shoes and finishes the unfinished work of Pandian. He also takes care of his daughter. A roller-coaster ride of fun, joy, camaraderie and romance is what 'Siruthai' is eventually.",Tamil,India,1 win & 1 nomination,"[{""Source"": ""Internet Movie Database"", ""Value"": ""6.2/10""}]",6.2,"1,890",tt1821607,movie,,,101,jpg
Payanam,2011,2h 11m,Action,"A plane is hijacked by ruthless terrorists who have held the passengers hostage. Now, it is up to Major Raveendra to rescue them and capture the hijackers.",,11 Feb 2011,115 min,Radha Mohan,"T.J. Gnanavel, Radha Mohan","Nagarjuna Akkineni, Prakash Raj, Sana Khan","Taut and thrilling, this hijack drama delves into the complex sequence of events that unfold when a flight from Chennai to Delhi is hijacked, and its passengers held to effect the release of their leader, Yusuf Khan. Now, the passengers' only hope is Major Ravindra from the National Security Guards who along with his team, Major Nawaz Khan and Major Menon, captured Yusuf Khan two years ago. Will the brave security team succeed in foiling the terrorists' plans and ensure that their leader remains imprisoned?",Tamil,India,,"[{""Source"": ""Internet Movie Database"", ""Value"": ""7.3/10""}]",7.3,868,tt1836883,movie,,,102,
Payanam,2011,2h 11m,Crime,"A plane is hijacked by ruthless terrorists who have held the passengers hostage. Now, it is up to Major Raveendra to rescue them and capture the hijackers.",,11 Feb 2011,115 min,Radha Mohan,"T.J. Gnanavel, Radha Mohan","Nagarjuna Akkineni, Prakash Raj, Sana Khan","Taut and thrilling, this hijack drama delves into the complex sequence of events that unfold when a flight from Chennai to Delhi is hijacked, and its passengers held to effect the release of their leader, Yusuf Khan. Now, the passengers' only hope is Major Ravindra from the National Security Guards who along with his team, Major Nawaz Khan and Major Menon, captured Yusuf Khan two years ago. Will the brave security team succeed in foiling the terrorists' plans and ensure that their leader remains imprisoned?",Tamil,India,,"[{""Source"": ""Internet Movie Database"", ""Value"": ""7.3/10""}]",7.3,868,tt1836883,movie,,,102,
